year_month,district,okrug,secondary_price_per_sqm,newbuild_price_per_sqm,rental_price_per_sqm_monthly,n_listings_secondary,n_listings_newbuild,n_listings_rental,cbr_key_rate_pct,avg_mortgage_rate_pct
2024-09,Arbat,CAO,728400,806700,3035,162,19,68,16.0,18.5
2024-10,Arbat,CAO,763500,867100,3181,95,33,23,21.0,23.5
2024-11,Arbat,CAO,762800,842300,3178,165,10,61,21.0,23.5
2024-12,Arbat,CAO,722900,794500,3012,105,9,17,21.0,23.5
2025-01,Arbat,CAO,748000,826800,3117,118,66,60,21.0,23.5
2025-02,Arbat,CAO,710800,803900,2962,59,32,44,21.0,23.5
2025-03,Arbat,CAO,700200,771700,2917,115,5,111,21.0,23.5
2025-04,Arbat,CAO,734400,838800,3060,135,10,103,21.0,23.5
2025-05,Arbat,CAO,746000,815400,3108,86,53,14,21.0,23.5
2025-06,Arbat,CAO,723800,808300,3016,55,65,52,21.0,23.5
2025-07,Arbat,CAO,729500,784600,3040,180,23,53,17.0,19.5
2025-08,Arbat,CAO,754400,827200,3143,118,14,79,17.0,19.5
2025-09,Arbat,CAO,728200,806300,3034,93,35,103,17.0,19.5
2025-10,Arbat,CAO,756700,825600,3153,186,21,64,17.0,19.5
2025-11,Arbat,CAO,760200,840000,3167,74,18,84,17.0,19.5
2025-12,Arbat,CAO,742600,766700,3094,174,37,71,17.0,19.5
2026-01,Arbat,CAO,741700,809700,3091,105,27,26,17.0,19.5
2026-02,Arbat,CAO,763800,806300,3183,172,47,49,17.0,19.5
2026-03,Arbat,CAO,759500,847100,3165,182,21,40,17.0,19.5
2026-04,Arbat,CAO,761700,822100,3174,47,43,70,17.0,19.5
2020-01,Basmanny,CAO,380000,430100,1583,23,73,43,6.0,8.5
2020-02,Basmanny,CAO,382700,414900,1594,103,75,98,6.0,8.5
2020-03,Basmanny,CAO,368800,389200,1537,65,55,67,6.0,8.5
2020-04,Basmanny,CAO,384700,419600,1603,22,17,68,4.25,6.75
2020-05,Basmanny,CAO,398100,460800,1659,95,71,41,4.25,6.75
2020-06,Basmanny,CAO,401800,453200,1674,52,38,32,4.25,6.75
2020-07,Basmanny,CAO,399700,453900,1665,90,59,96,4.25,6.75
2020-08,Basmanny,CAO,398500,449500,1661,93,13,51,4.25,6.75
2020-09,Basmanny,CAO,407200,444100,1697,47,52,47,4.25,6.75
2020-10,Basmanny,CAO,405300,448600,1689,43,65,12,4.25,6.75
2020-11,Basmanny,CAO,425000,473400,1771,138,42,20,4.25,6.75
2020-12,Basmanny,CAO,441100,496500,1838,95,63,48,4.25,6.75
2021-01,Basmanny,CAO,443000,479800,1846,105,44,46,4.25,6.75
2021-02,Basmanny,CAO,433900,484800,1808,32,11,85,4.25,6.75
2021-03,Basmanny,CAO,436400,484900,1818,34,17,95,4.25,6.75
2021-04,Basmanny,CAO,459500,509800,1914,185,21,118,8.5,11.0
2021-05,Basmanny,CAO,491200,535100,2046,144,45,13,8.5,11.0
2021-06,Basmanny,CAO,464600,501800,1936,187,5,37,8.5,11.0
2021-07,Basmanny,CAO,490000,537200,2042,156,78,68,8.5,11.0
2021-08,Basmanny,CAO,500700,529100,2086,119,10,98,8.5,11.0
2021-09,Basmanny,CAO,498100,518700,2075,75,34,90,8.5,11.0
2021-10,Basmanny,CAO,491200,555100,2047,50,74,68,8.5,11.0
2021-11,Basmanny,CAO,497400,549000,2072,105,73,101,8.5,11.0
2021-12,Basmanny,CAO,520500,587900,2169,123,48,56,8.5,11.0
2022-01,Basmanny,CAO,509800,540600,2124,71,72,74,20.0,22.5
2022-02,Basmanny,CAO,514200,560900,2142,166,65,20,20.0,22.5
2022-03,Basmanny,CAO,505200,563600,2105,96,10,113,20.0,22.5
2022-04,Basmanny,CAO,512600,556200,2136,64,49,62,9.5,12.0
2022-05,Basmanny,CAO,514700,539900,2145,26,74,117,9.5,12.0
2022-06,Basmanny,CAO,504600,533700,2103,175,39,83,9.5,12.0
2022-07,Basmanny,CAO,507800,555000,2116,26,49,99,9.5,12.0
2022-08,Basmanny,CAO,529000,603000,2204,126,69,20,9.5,12.0
2022-09,Basmanny,CAO,502700,540400,2095,85,11,112,9.5,12.0
2022-10,Basmanny,CAO,522500,574000,2177,35,27,91,7.5,10.0
2022-11,Basmanny,CAO,542900,568200,2262,165,13,114,7.5,10.0
2022-12,Basmanny,CAO,531300,589600,2214,123,19,39,7.5,10.0
2023-01,Basmanny,CAO,546100,607500,2275,141,39,46,7.5,10.0
2023-02,Basmanny,CAO,526900,586100,2195,64,59,79,7.5,10.0
2023-03,Basmanny,CAO,526800,582000,2195,58,34,82,7.5,10.0
2023-04,Basmanny,CAO,563500,584500,2348,88,29,89,7.5,10.0
2023-05,Basmanny,CAO,556900,617200,2321,90,28,61,7.5,10.0
2023-06,Basmanny,CAO,557900,603300,2324,26,22,103,7.5,10.0
2023-07,Basmanny,CAO,547800,607300,2283,131,25,80,13.0,15.5
2023-08,Basmanny,CAO,553800,628300,2308,61,56,79,13.0,15.5
2023-09,Basmanny,CAO,569400,638400,2372,182,22,113,13.0,15.5
2023-10,Basmanny,CAO,573500,625200,2390,27,30,83,13.0,15.5
2023-11,Basmanny,CAO,584200,629900,2434,155,73,25,13.0,15.5
2023-12,Basmanny,CAO,561100,598900,2338,112,26,80,13.0,15.5
2024-01,Basmanny,CAO,571700,638800,2382,51,46,55,16.0,18.5
2024-02,Basmanny,CAO,587400,668700,2448,45,72,66,16.0,18.5
2024-03,Basmanny,CAO,558400,645300,2327,159,56,81,16.0,18.5
2024-04,Basmanny,CAO,596500,636600,2486,47,72,76,16.0,18.5
2024-05,Basmanny,CAO,573000,605700,2388,29,72,58,16.0,18.5
2024-06,Basmanny,CAO,596000,643100,2483,185,78,30,16.0,18.5
2024-07,Basmanny,CAO,583200,637100,2430,169,66,84,16.0,18.5
2024-08,Basmanny,CAO,579100,658800,2413,140,29,75,16.0,18.5
2024-09,Basmanny,CAO,606600,673600,2527,132,19,21,16.0,18.5
2024-10,Basmanny,CAO,585200,641600,2438,26,73,18,21.0,23.5
2024-11,Basmanny,CAO,553900,597400,2308,34,63,86,21.0,23.5
2024-12,Basmanny,CAO,554600,597300,2311,50,47,113,21.0,23.5
2025-01,Basmanny,CAO,558500,603400,2327,174,5,30,21.0,23.5
2025-02,Basmanny,CAO,586400,635000,2443,35,18,115,21.0,23.5
2025-03,Basmanny,CAO,569500,642100,2373,58,68,59,21.0,23.5
2025-04,Basmanny,CAO,564400,630400,2352,42,36,111,21.0,23.5
2025-05,Basmanny,CAO,556400,619600,2318,56,16,24,21.0,23.5
2025-06,Basmanny,CAO,546600,605800,2278,45,18,61,21.0,23.5
2025-07,Basmanny,CAO,588700,629800,2453,83,60,46,17.0,19.5
2025-08,Basmanny,CAO,561200,627500,2338,89,61,68,17.0,19.5
2025-09,Basmanny,CAO,572000,614400,2383,150,59,27,17.0,19.5
2025-10,Basmanny,CAO,590000,654400,2458,95,59,97,17.0,19.5
2025-11,Basmanny,CAO,604400,675600,2518,96,65,60,17.0,19.5
2025-12,Basmanny,CAO,555100,573800,2313,188,44,23,17.0,19.5
2026-01,Basmanny,CAO,558900,591700,2329,82,53,37,17.0,19.5
2026-02,Basmanny,CAO,588500,642900,2452,178,43,103,17.0,19.5
2026-03,Basmanny,CAO,571600,630200,2382,65,47,45,17.0,19.5
2026-04,Basmanny,CAO,578100,652100,2409,58,72,103,17.0,19.5
2020-01,Zamoskvorechye,CAO,411600,464100,1715,134,15,66,6.0,8.5
2020-02,Zamoskvorechye,CAO,410700,454900,1711,196,31,12,6.0,8.5
2020-03,Zamoskvorechye,CAO,411700,443600,1715,101,53,107,6.0,8.5
2020-04,Zamoskvorechye,CAO,402200,449000,1676,196,56,22,4.25,6.75
2020-05,Zamoskvorechye,CAO,418100,451200,1742,46,74,96,4.25,6.75
2020-06,Zamoskvorechye,CAO,434900,482000,1812,101,34,106,4.25,6.75
2020-07,Zamoskvorechye,CAO,444800,484300,1853,34,5,24,4.25,6.75
2020-08,Zamoskvorechye,CAO,458600,508800,1911,169,45,91,4.25,6.75
2020-09,Zamoskvorechye,CAO,459200,517100,1913,37,9,27,4.25,6.75
2020-10,Zamoskvorechye,CAO,459900,508600,1916,184,19,73,4.25,6.75
2020-11,Zamoskvorechye,CAO,465400,501400,1939,135,41,49,4.25,6.75
2020-12,Zamoskvorechye,CAO,485000,542400,2021,148,48,94,4.25,6.75
2021-01,Zamoskvorechye,CAO,469500,512700,1956,140,75,116,4.25,6.75
2021-02,Zamoskvorechye,CAO,468800,527000,1953,103,11,35,4.25,6.75
2021-03,Zamoskvorechye,CAO,481100,542700,2005,122,23,44,4.25,6.75
2021-04,Zamoskvorechye,CAO,527400,594700,2197,164,77,90,8.5,11.0
2021-05,Zamoskvorechye,CAO,499700,555400,2082,100,17,64,8.5,11.0
2021-06,Zamoskvorechye,CAO,519800,574700,2166,141,77,81,8.5,11.0
2021-07,Zamoskvorechye,CAO,537900,587800,2241,119,25,78,8.5,11.0
2021-08,Zamoskvorechye,CAO,525200,597000,2188,88,77,79,8.5,11.0
2021-09,Zamoskvorechye,CAO,515200,560600,2147,62,76,49,8.5,11.0
2021-10,Zamoskvorechye,CAO,531000,572900,2212,150,39,86,8.5,11.0
2021-11,Zamoskvorechye,CAO,559500,618400,2331,136,6,36,8.5,11.0
2021-12,Zamoskvorechye,CAO,561100,618000,2338,151,21,103,8.5,11.0
2022-01,Zamoskvorechye,CAO,585200,635400,2439,126,8,44,20.0,22.5
2022-02,Zamoskvorechye,CAO,553900,591200,2308,137,35,34,20.0,22.5
2022-03,Zamoskvorechye,CAO,527900,580100,2200,97,79,15,20.0,22.5
2022-04,Zamoskvorechye,CAO,520800,602100,2170,135,6,109,9.5,12.0
2022-05,Zamoskvorechye,CAO,544800,596000,2270,71,28,40,9.5,12.0
2022-06,Zamoskvorechye,CAO,527600,589600,2198,130,25,114,9.5,12.0
2022-07,Zamoskvorechye,CAO,574400,657800,2393,70,69,62,9.5,12.0
2022-08,Zamoskvorechye,CAO,550400,607400,2293,42,20,74,9.5,12.0
2022-09,Zamoskvorechye,CAO,545600,593900,2273,104,48,71,9.5,12.0
2022-10,Zamoskvorechye,CAO,580400,647700,2418,127,23,100,7.5,10.0
2022-11,Zamoskvorechye,CAO,566000,612600,2358,154,17,15,7.5,10.0
2022-12,Zamoskvorechye,CAO,596000,643400,2484,94,60,35,7.5,10.0
2023-01,Zamoskvorechye,CAO,590900,668300,2462,185,58,85,7.5,10.0
2023-02,Zamoskvorechye,CAO,560000,632900,2333,109,64,70,7.5,10.0
2023-03,Zamoskvorechye,CAO,602500,674100,2510,28,72,106,7.5,10.0
2023-04,Zamoskvorechye,CAO,625200,669000,2605,156,79,54,7.5,10.0
2023-05,Zamoskvorechye,CAO,618800,690400,2578,101,55,93,7.5,10.0
2023-06,Zamoskvorechye,CAO,592300,672900,2468,50,68,33,7.5,10.0
2023-07,Zamoskvorechye,CAO,607300,645800,2531,184,38,32,13.0,15.5
2023-08,Zamoskvorechye,CAO,622300,694200,2593,156,77,97,13.0,15.5
2023-09,Zamoskvorechye,CAO,618800,660900,2578,51,65,26,13.0,15.5
2023-10,Zamoskvorechye,CAO,616600,659100,2569,115,29,14,13.0,15.5
2023-11,Zamoskvorechye,CAO,607500,655000,2531,163,71,15,13.0,15.5
2023-12,Zamoskvorechye,CAO,592800,645500,2470,86,28,58,13.0,15.5
2024-01,Zamoskvorechye,CAO,605700,635700,2524,31,49,24,16.0,18.5
2024-02,Zamoskvorechye,CAO,656600,697800,2736,138,46,106,16.0,18.5
2024-03,Zamoskvorechye,CAO,598000,665300,2492,158,60,66,16.0,18.5
2024-04,Zamoskvorechye,CAO,634700,704900,2644,191,61,111,16.0,18.5
2024-05,Zamoskvorechye,CAO,639800,704300,2666,114,54,113,16.0,18.5
2024-06,Zamoskvorechye,CAO,628900,686300,2620,71,38,119,16.0,18.5
2024-07,Zamoskvorechye,CAO,627300,692500,2614,123,25,34,16.0,18.5
2024-08,Zamoskvorechye,CAO,635000,694600,2646,112,54,38,16.0,18.5
2024-09,Zamoskvorechye,CAO,632000,694800,2633,128,7,77,16.0,18.5
2024-10,Zamoskvorechye,CAO,631300,688800,2631,90,25,64,21.0,23.5
2024-11,Zamoskvorechye,CAO,622000,666800,2592,168,37,97,21.0,23.5
2024-12,Zamoskvorechye,CAO,594600,689400,2477,121,28,102,21.0,23.5
2025-01,Zamoskvorechye,CAO,606400,688500,2527,77,21,31,21.0,23.5
2025-02,Zamoskvorechye,CAO,610000,707100,2542,172,14,102,21.0,23.5
2025-03,Zamoskvorechye,CAO,634400,722600,2643,50,75,15,21.0,23.5
2025-04,Zamoskvorechye,CAO,585300,638700,2439,28,11,16,21.0,23.5
2025-05,Zamoskvorechye,CAO,578300,627500,2409,119,54,52,21.0,23.5
2025-06,Zamoskvorechye,CAO,631100,676400,2629,22,61,42,21.0,23.5
2025-07,Zamoskvorechye,CAO,611100,665500,2546,173,52,64,17.0,19.5
2025-08,Zamoskvorechye,CAO,653400,706600,2722,55,9,63,17.0,19.5
2025-09,Zamoskvorechye,CAO,638700,702600,2661,28,32,106,17.0,19.5
2025-10,Zamoskvorechye,CAO,612300,680900,2551,48,32,101,17.0,19.5
2025-11,Zamoskvorechye,CAO,652400,689000,2718,138,9,84,17.0,19.5
2025-12,Zamoskvorechye,CAO,617600,671800,2574,120,11,23,17.0,19.5
2026-01,Zamoskvorechye,CAO,657200,731500,2738,188,50,82,17.0,19.5
2026-02,Zamoskvorechye,CAO,640600,714200,2669,141,19,117,17.0,19.5
2026-03,Zamoskvorechye,CAO,617700,700600,2574,45,32,88,17.0,19.5
2026-04,Zamoskvorechye,CAO,637900,722200,2658,45,68,86,17.0,19.5
2020-01,Krasnoselsky,CAO,358800,392700,1495,115,27,66,6.0,8.5
2020-02,Krasnoselsky,CAO,376700,415500,1570,160,33,51,6.0,8.5
2020-03,Krasnoselsky,CAO,367000,403400,1529,151,19,107,6.0,8.5
2020-04,Krasnoselsky,CAO,357700,389700,1491,178,67,40,4.25,6.75
2020-05,Krasnoselsky,CAO,390900,429700,1629,104,46,24,4.25,6.75
2020-06,Krasnoselsky,CAO,368700,412700,1536,103,79,56,4.25,6.75
2020-07,Krasnoselsky,CAO,380000,419500,1583,54,67,39,4.25,6.75
2020-08,Krasnoselsky,CAO,377800,410600,1574,40,60,38,4.25,6.75
2020-09,Krasnoselsky,CAO,388600,439800,1619,34,39,32,4.25,6.75
2020-10,Krasnoselsky,CAO,405000,435900,1687,101,61,99,4.25,6.75
2020-11,Krasnoselsky,CAO,400600,437400,1669,180,22,34,4.25,6.75
2020-12,Krasnoselsky,CAO,426500,474900,1777,94,24,87,4.25,6.75
2021-01,Krasnoselsky,CAO,423300,467400,1764,140,68,53,4.25,6.75
2021-02,Krasnoselsky,CAO,422100,457000,1759,183,66,95,4.25,6.75
2021-03,Krasnoselsky,CAO,417300,467300,1739,57,31,118,4.25,6.75
2021-04,Krasnoselsky,CAO,439500,482200,1831,81,43,33,8.5,11.0
2021-05,Krasnoselsky,CAO,437800,493000,1824,37,49,49,8.5,11.0
2021-06,Krasnoselsky,CAO,447700,472300,1865,60,33,19,8.5,11.0
2021-07,Krasnoselsky,CAO,423700,458400,1765,73,46,109,8.5,11.0
2021-08,Krasnoselsky,CAO,459600,494700,1915,114,40,23,8.5,11.0
2021-09,Krasnoselsky,CAO,464800,516900,1937,159,21,99,8.5,11.0
2021-10,Krasnoselsky,CAO,483700,518500,2015,94,23,69,8.5,11.0
2021-11,Krasnoselsky,CAO,477500,512100,1990,42,79,33,8.5,11.0
2021-12,Krasnoselsky,CAO,487400,521100,2031,61,49,39,8.5,11.0
2022-01,Krasnoselsky,CAO,490700,538900,2045,51,48,87,20.0,22.5
2022-02,Krasnoselsky,CAO,464900,505700,1937,157,62,119,20.0,22.5
2022-03,Krasnoselsky,CAO,464900,521200,1937,169,6,86,20.0,22.5
2022-04,Krasnoselsky,CAO,463800,509000,1932,173,15,65,9.5,12.0
2022-05,Krasnoselsky,CAO,478800,502600,1995,199,49,21,9.5,12.0
2022-06,Krasnoselsky,CAO,471700,507300,1965,193,26,115,9.5,12.0
2022-07,Krasnoselsky,CAO,473400,491900,1973,148,53,22,9.5,12.0
2022-08,Krasnoselsky,CAO,490400,532200,2043,27,30,23,9.5,12.0
2022-09,Krasnoselsky,CAO,494000,541600,2058,170,59,113,9.5,12.0
2022-10,Krasnoselsky,CAO,490800,522200,2045,101,11,90,7.5,10.0
2022-11,Krasnoselsky,CAO,479200,528300,1997,107,40,33,7.5,10.0
2022-12,Krasnoselsky,CAO,485000,516000,2021,67,52,72,7.5,10.0
2023-01,Krasnoselsky,CAO,535400,583100,2231,143,56,86,7.5,10.0
2023-02,Krasnoselsky,CAO,509800,570100,2124,69,44,59,7.5,10.0
2023-03,Krasnoselsky,CAO,498400,542900,2077,67,5,106,7.5,10.0
2023-04,Krasnoselsky,CAO,494500,540200,2060,149,15,50,7.5,10.0
2023-05,Krasnoselsky,CAO,525900,595300,2191,53,22,117,7.5,10.0
2023-06,Krasnoselsky,CAO,513500,575000,2140,64,31,114,7.5,10.0
2023-07,Krasnoselsky,CAO,519400,584000,2164,114,7,104,13.0,15.5
2023-08,Krasnoselsky,CAO,522900,585200,2179,33,7,38,13.0,15.5
2023-09,Krasnoselsky,CAO,521400,557500,2173,116,18,14,13.0,15.5
2023-10,Krasnoselsky,CAO,527100,557300,2196,180,36,116,13.0,15.5
2023-11,Krasnoselsky,CAO,546200,619100,2276,136,32,33,13.0,15.5
2023-12,Krasnoselsky,CAO,535800,585600,2232,27,75,32,13.0,15.5
2024-01,Krasnoselsky,CAO,528000,586400,2200,22,13,51,16.0,18.5
2024-02,Krasnoselsky,CAO,563900,602700,2350,186,47,103,16.0,18.5
2024-03,Krasnoselsky,CAO,537700,595400,2240,183,47,30,16.0,18.5
2024-04,Krasnoselsky,CAO,555400,633500,2314,97,69,15,16.0,18.5
2024-05,Krasnoselsky,CAO,552400,591100,2302,187,58,57,16.0,18.5
2024-06,Krasnoselsky,CAO,537000,591400,2237,148,42,10,16.0,18.5
2024-07,Krasnoselsky,CAO,544100,592300,2267,102,68,22,16.0,18.5
2024-08,Krasnoselsky,CAO,560900,649100,2337,23,74,34,16.0,18.5
2024-09,Krasnoselsky,CAO,555600,590400,2315,162,57,105,16.0,18.5
2024-10,Krasnoselsky,CAO,566300,614800,2360,30,66,19,21.0,23.5
2024-11,Krasnoselsky,CAO,506200,563400,2109,131,10,52,21.0,23.5
2024-12,Krasnoselsky,CAO,551900,600500,2300,144,61,75,21.0,23.5
2025-01,Krasnoselsky,CAO,497200,515700,2072,161,29,70,21.0,23.5
2025-02,Krasnoselsky,CAO,527100,561400,2196,146,8,79,21.0,23.5
2025-03,Krasnoselsky,CAO,539400,587800,2247,177,48,10,21.0,23.5
2025-04,Krasnoselsky,CAO,503800,569100,2099,90,75,107,21.0,23.5
2025-05,Krasnoselsky,CAO,536300,597800,2235,111,48,27,21.0,23.5
2025-06,Krasnoselsky,CAO,540700,584500,2253,143,75,14,21.0,23.5
2025-07,Krasnoselsky,CAO,515700,553300,2149,20,72,27,17.0,19.5
2025-08,Krasnoselsky,CAO,541200,609600,2255,29,38,42,17.0,19.5
2025-09,Krasnoselsky,CAO,556500,616900,2319,70,46,98,17.0,19.5
2025-10,Krasnoselsky,CAO,548100,613400,2284,70,58,13,17.0,19.5
2025-11,Krasnoselsky,CAO,557800,590800,2324,78,22,11,17.0,19.5
2025-12,Krasnoselsky,CAO,548100,595900,2284,45,45,69,17.0,19.5
2026-01,Krasnoselsky,CAO,527000,570800,2196,103,16,68,17.0,19.5
2026-02,Krasnoselsky,CAO,542400,581200,2260,83,52,45,17.0,19.5
2026-03,Krasnoselsky,CAO,532600,573800,2219,64,57,55,17.0,19.5
2026-04,Krasnoselsky,CAO,520700,581300,2169,112,21,36,17.0,19.5
2020-01,Meshchansky,CAO,367300,393700,1530,93,31,85,6.0,8.5
2020-02,Meshchansky,CAO,386400,422800,1610,183,26,41,6.0,8.5
2020-03,Meshchansky,CAO,350700,387000,1461,130,73,79,6.0,8.5
2020-04,Meshchansky,CAO,383200,427000,1597,193,29,92,4.25,6.75
2020-05,Meshchansky,CAO,389800,459500,1624,98,49,84,4.25,6.75
2020-06,Meshchansky,CAO,384700,427800,1603,97,39,105,4.25,6.75
2020-07,Meshchansky,CAO,411500,465400,1714,117,58,86,4.25,6.75
2020-08,Meshchansky,CAO,389700,418800,1624,114,24,52,4.25,6.75
2020-09,Meshchansky,CAO,419200,467400,1746,153,29,43,4.25,6.75
2020-10,Meshchansky,CAO,411200,444000,1714,187,69,31,4.25,6.75
2020-11,Meshchansky,CAO,429800,469700,1791,47,79,57,4.25,6.75
2020-12,Meshchansky,CAO,429200,491100,1788,149,63,18,4.25,6.75
2021-01,Meshchansky,CAO,446500,492300,1861,50,62,96,4.25,6.75
2021-02,Meshchansky,CAO,437700,486800,1824,138,37,73,4.25,6.75
2021-03,Meshchansky,CAO,437300,499100,1822,183,60,14,4.25,6.75
2021-04,Meshchansky,CAO,427900,449300,1783,142,33,110,8.5,11.0
2021-05,Meshchansky,CAO,455600,524400,1898,145,78,70,8.5,11.0
2021-06,Meshchansky,CAO,476200,528100,1984,84,79,115,8.5,11.0
2021-07,Meshchansky,CAO,484900,551100,2020,103,18,107,8.5,11.0
2021-08,Meshchansky,CAO,480500,520700,2002,156,20,118,8.5,11.0
2021-09,Meshchansky,CAO,462700,510700,1928,136,78,54,8.5,11.0
2021-10,Meshchansky,CAO,483300,518500,2014,119,22,118,8.5,11.0
2021-11,Meshchansky,CAO,500100,528000,2084,33,32,39,8.5,11.0
2021-12,Meshchansky,CAO,496100,546500,2067,76,77,91,8.5,11.0
2022-01,Meshchansky,CAO,492800,537400,2053,52,65,57,20.0,22.5
2022-02,Meshchansky,CAO,474300,530800,1976,69,37,98,20.0,22.5
2022-03,Meshchansky,CAO,505000,558400,2104,42,74,101,20.0,22.5
2022-04,Meshchansky,CAO,480900,542000,2004,84,18,112,9.5,12.0
2022-05,Meshchansky,CAO,477300,508200,1989,32,11,110,9.5,12.0
2022-06,Meshchansky,CAO,488100,538900,2034,57,67,36,9.5,12.0
2022-07,Meshchansky,CAO,490200,569700,2043,53,65,71,9.5,12.0
2022-08,Meshchansky,CAO,495300,540400,2064,108,51,85,9.5,12.0
2022-09,Meshchansky,CAO,473700,514600,1974,78,40,87,9.5,12.0
2022-10,Meshchansky,CAO,508800,550100,2120,86,22,109,7.5,10.0
2022-11,Meshchansky,CAO,536000,553700,2233,99,18,37,7.5,10.0
2022-12,Meshchansky,CAO,520900,573100,2171,185,56,119,7.5,10.0
2023-01,Meshchansky,CAO,515500,555900,2148,53,30,102,7.5,10.0
2023-02,Meshchansky,CAO,527100,571300,2196,102,42,43,7.5,10.0
2023-03,Meshchansky,CAO,545500,575200,2273,162,75,109,7.5,10.0
2023-04,Meshchansky,CAO,521400,577300,2172,98,9,31,7.5,10.0
2023-05,Meshchansky,CAO,534700,612800,2228,170,75,60,7.5,10.0
2023-06,Meshchansky,CAO,536100,582700,2234,150,20,71,7.5,10.0
2023-07,Meshchansky,CAO,537300,592100,2239,99,71,19,13.0,15.5
2023-08,Meshchansky,CAO,563800,607600,2349,31,36,93,13.0,15.5
2023-09,Meshchansky,CAO,539100,604100,2246,141,79,95,13.0,15.5
