SELLER_TYPE,DISTRICT,AVG_DISTANCE,DISTANCE_RANK
owner,Biryulyovo Zapadnoye,18.046330935,32
owner,Yasenevo,17.465875,33
owner,Mosrentgen,17.291,34
owner,Zyablikovo,17.183546099,35
owner,Tyoply Stan,17.005753425,36
owner,Chertanovo Yuzhnoye,16.786338028,37
owner,Orekhovo-Borisovo Yuzhnoye,16.631733333,38
owner,Lianozovo,16.58440678,39
owner,Vostochny,16.526341463,40
owner,Severnoye Tushino,16.09848,41
owner,Khovrino,15.937985612,42
owner,Novokosino,15.394444444,43
owner,Tsaritsyno,15.319698795,44
owner,Levoberezhny,15.306041667,45
owner,Orekhovo-Borisovo Severnoye,15.16768,46
owner,Altufyevsky,15.003741497,47
owner,Yuzhnoye Tushino,14.901111111,48
owner,Dmitrovsky,14.891008403,49
owner,Kosino-Ukhtomsky,14.881985816,50
owner,Brateyevo,14.858450704,51
owner,Severnoye Medvedkovo,14.833611111,52
owner,Strogino,14.814919355,53
owner,Losinoostrovsky,14.483863636,54
owner,Bibirevo,14.482447552,55
owner,Yaroslavsky,14.267361111,56
owner,Troparyovo-Nikulino,14.218432836,57
owner,Konkovo,14.162516129,58
owner,Yuzhnoye Medvedkovo,13.791153846,59
owner,Beskudnikovsky,13.727819549,60
owner,Chertanovo Tsentralnoye,13.684568966,61
owner,Vostochnoye Izmaylovo,13.432014388,62
owner,Zapadnoye Degunino,13.360078125,63
owner,Mozhaysky,13.341716418,64
owner,Golyanovo,13.26,65
owner,Severnoye Izmaylovo,13.226344828,66
owner,Krylatskoye,12.991190476,67
owner,Babushkinsky,12.834918033,68
owner,Pokrovskoye-Streshnevo,12.747923077,69
owner,Ivanovskoye,12.675669291,70
owner,Veshnyaki,12.490144928,71
owner,Golovinsky,12.442040816,72
owner,Moskvorechye-Saburovo,12.37915493,73
owner,Otradnoye,12.369015152,74
owner,Ochakovo-Matveyevskoye,12.040381679,75
owner,Koptevo,12.007538462,76
owner,Kuntsevo,11.914528302,77
owner,Prospekt Vernadskogo,11.84096,78
owner,Chertanovo Severnoye,11.583521127,79
owner,Shchukino,11.452833333,80
owner,Novogireyevo,11.33380597,81
owner,Obruchevsky,11.324166667,82
owner,Zyuzino,11.119344262,83
owner,Metrogorodok,11.107669173,84
owner,Sviblovo,11.093717949,85
owner,Perovo,10.453858268,86
owner,Voykovsky,10.370529801,87
owner,Izmaylovo,10.346511628,88
owner,Marfino,10.231268657,89
owner,Rostokino,10.027324841,90
owner,Cheryomushki,9.969795918,91
owner,Khoroshyovo-Mnyovniki,9.707304348,92
owner,Fili-Davydkovo,9.57627907,93
owner,Nagorny,9.40856,94
owner,Bogorodskoye,9.3604,95
owner,Kotlovka,9.297536232,96
owner,Nagatinsky Zaton,9.276962963,97
owner,Ramenki,9.174,98
owner,Sokol,9.11034965,99
owner,Filyovsky Park,8.79379845,100
owner,Lomonosovsky,8.580463576,101
owner,Nagatino-Sadovniki,8.255192308,102
owner,Sokolinaya Gora,8.173017241,103
owner,Aeroport,8.050514706,104
owner,Ostankinsky,8.0446,105
owner,Akademichesky,8.002827586,106
owner,Timiryazevsky,7.859931507,107
owner,Preobrazhenskoye,7.667637795,108
owner,Butyrsky,7.234509804,109
owner,Gagarinsky,6.558347107,110
owner,Alekseevsky,6.46965035,111
owner,Khoroshyovsky,6.413115942,112
owner,Sokolniki,5.702608696,113
owner,Begovoy,5.535925926,114
owner,Danilovsky,5.435957447,115
owner,Savyolovsky,5.317521368,116
owner,Donskoy,5.081382114,117
owner,Dorogomilovo,4.706434109,118
owner,Maryina Roshcha,4.517024793,119
owner,Krasnoselsky,3.951904762,120
owner,Basmanny,3.935481481,121
owner,Khamovniki,3.931209677,122
owner,Tagansky,3.730909091,123
owner,Meshchansky,3.050318471,124
owner,Presnensky,3.048846154,125
owner,Yakimanka,2.873407407,126
owner,Zamoskvorechye,2.415283019,127
owner,Tverskoy,2.339632353,128
owner,Arbat,2.242,129
