DISTRICT,BUILDING_TYPE,RENOVATION,SELLER_TYPE,TOTAL_PROPERTIES
Nagatinsky Zaton,panel,cosmetic,agency,23
Novokosino,panel,cosmetic,agency,23
Sokol,panel,cosmetic,agency,23
Tsaritsyno,modern_panel,cosmetic,agency,23
Kievsky,modern_panel,cosmetic,agency,23
Aeroport,khrushchev,cosmetic,agency,23
Lianozovo,monolith,cosmetic,agency,23
Sokolinaya Gora,monolith,cosmetic,agency,23
Mikhaylovo-Yartsevskoye,panel,cosmetic,agency,23
Golyanovo,panel,cosmetic,agency,23
Nagorny,panel,cosmetic,agency,23
Tsaritsyno,monolith,cosmetic,agency,23
Molzhaninovsky,monolith,cosmetic,agency,23
Sokolinaya Gora,brick,cosmetic,agency,23
Prospekt Vernadskogo,modern_panel,cosmetic,agency,23
Izmaylovo,monolith,cosmetic,agency,23
Ryazanovskoye,panel,cosmetic,agency,23
Brateyevo,monolith,cosmetic,agency,23
Altufyevsky,modern_panel,cosmetic,agency,23
Timiryazevsky,monolith,cosmetic,agency,23
Novo-Peredelkino,monolith,cosmetic,agency,23
Tverskoy,panel,cosmetic,agency,23
Novofyodorovskoye,monolith,cosmetic,agency,23
Novofyodorovskoye,panel,cosmetic,agency,23
Kosino-Ukhtomsky,modern_panel,cosmetic,agency,23
Krasnopakhorskoye,modern_panel,cosmetic,agency,23
Kuntsevo,monolith,cosmetic,agency,23
Izmaylovo,panel,cosmetic,agency,23
Yuzhnoye Medvedkovo,modern_panel,cosmetic,agency,23
Nagorny,modern_panel,cosmetic,agency,23
Desyonovskoye,panel,cosmetic,agency,23
Kievsky,brick,cosmetic,agency,23
Khamovniki,monolith,cosmetic,agency,23
Khamovniki,panel,euro,agency,23
Novofyodorovskoye,modern_panel,cosmetic,agency,23
Troparyovo-Nikulino,modern_panel,cosmetic,agency,23
Meshchansky,monolith,euro,agency,23
Orekhovo-Borisovo Severnoye,monolith,cosmetic,agency,22
Akademichesky,modern_panel,cosmetic,agency,22
Voronovskoye,monolith,euro,agency,22
Bibirevo,panel,cosmetic,agency,22
Ramenki,panel,cosmetic,agency,22
Ryazanovskoye,panel,euro,agency,22
Timiryazevsky,monolith,euro,agency,22
Perovo,monolith,cosmetic,agency,22
Begovoy,brick,euro,agency,22
Savyolovsky,monolith,cosmetic,agency,22
Kuntsevo,modern_panel,cosmetic,agency,22
Danilovsky,panel,cosmetic,agency,22
Mitino,modern_panel,euro,agency,22
Meshchansky,modern_panel,cosmetic,agency,22
Klyonovskoye,brick,cosmetic,agency,22
Prospekt Vernadskogo,panel,cosmetic,agency,22
Koptevo,monolith,cosmetic,agency,22
Obruchevsky,brick,cosmetic,agency,22
Tsaritsyno,panel,cosmetic,agency,22
Gagarinsky,modern_panel,cosmetic,agency,22
Kievsky,monolith,cosmetic,agency,22
Nagorny,monolith,cosmetic,agency,22
Lomonosovsky,panel,cosmetic,agency,22
Orekhovo-Borisovo Severnoye,panel,cosmetic,agency,22
Yuzhnoye Tushino,monolith,no_renovation,agency,22
Zyablikovo,monolith,cosmetic,agency,22
Strogino,modern_panel,cosmetic,agency,22
Severnoye Tushino,brick,cosmetic,agency,22
Chertanovo Yuzhnoye,monolith,cosmetic,agency,22
Khamovniki,modern_panel,cosmetic,agency,22
Chertanovo Tsentralnoye,panel,cosmetic,agency,22
Bogorodskoye,monolith,cosmetic,agency,22
Nagatino-Sadovniki,panel,cosmetic,agency,22
Yasenevo,brick,euro,agency,22
Obruchevsky,monolith,cosmetic,agency,22
Gagarinsky,brick,cosmetic,agency,22
Severnoye Tushino,panel,cosmetic,agency,22
Biryulyovo Vostochnoye,brick,cosmetic,agency,22
Moskovsky,panel,cosmetic,agency,22
Chertanovo Severnoye,modern_panel,cosmetic,agency,22
Alekseevsky,modern_panel,cosmetic,agency,22
Desyonovskoye,brick,cosmetic,agency,22
Khoroshyovo-Mnyovniki,monolith,cosmetic,agency,22
Brateyevo,modern_panel,cosmetic,agency,22
Severny,brick,cosmetic,agency,22
Ostankinsky,modern_panel,cosmetic,agency,22
Klyonovskoye,monolith,euro,agency,22
Severnoye Medvedkovo,monolith,cosmetic,agency,22
Biryulyovo Zapadnoye,panel,cosmetic,agency,21
Sokol,monolith,cosmetic,agency,21
Pervomayskoye,khrushchev,cosmetic,agency,21
Lomonosovsky,panel,euro,agency,21
Moskvorechye-Saburovo,modern_panel,cosmetic,agency,21
Chertanovo Severnoye,panel,cosmetic,agency,21
Danilovsky,modern_panel,cosmetic,agency,21
Yaroslavsky,panel,no_renovation,agency,21
Ramenki,brick,euro,agency,21
Novokosino,brick,cosmetic,agency,21
Novokosino,modern_panel,cosmetic,agency,21
Filimonkovskoye,modern_panel,cosmetic,agency,21
Severnoye Butovo,panel,cosmetic,agency,21
Zapadnoye Degunino,monolith,cosmetic,agency,21
Prospekt Vernadskogo,brick,cosmetic,agency,21
Golyanovo,monolith,cosmetic,agency,21
Khoroshyovo-Mnyovniki,modern_panel,cosmetic,agency,21
Zapadnoye Degunino,modern_panel,cosmetic,agency,21
Klyonovskoye,panel,cosmetic,agency,21
Voronovskoye,modern_panel,euro,agency,21
Solntsevo,panel,cosmetic,agency,21
Sokol,brick,cosmetic,agency,21
Voskresenskoye,panel,cosmetic,agency,21
Pokrovskoye-Streshnevo,panel,euro,agency,21
Preobrazhenskoye,modern_panel,euro,agency,21
Khamovniki,panel,cosmetic,agency,21
Chertanovo Tsentralnoye,modern_panel,euro,agency,21
Prospekt Vernadskogo,khrushchev,cosmetic,agency,21
Sviblovo,modern_panel,cosmetic,agency,21
Timiryazevsky,brick,cosmetic,agency,21
Vnukovo,monolith,cosmetic,agency,21
Lomonosovsky,modern_panel,cosmetic,agency,21
Sokolniki,modern_panel,cosmetic,agency,21
Ryazanovskoye,monolith,euro,agency,21
Nagatino-Sadovniki,modern_panel,cosmetic,agency,21
Krasnopakhorskoye,brick,cosmetic,agency,21
Yasenevo,monolith,euro,agency,21
Vnukovskoye,modern_panel,cosmetic,agency,21
Severnoye Izmaylovo,monolith,cosmetic,agency,21
Losinoostrovsky,khrushchev,cosmetic,agency,21
Ivanovskoye,brick,cosmetic,agency,21
Lianozovo,panel,cosmetic,agency,21
Krasnoselsky,brick,cosmetic,agency,21
Kurkino,panel,euro,agency,21
Shchukino,brick,cosmetic,agency,21
Biryulyovo Zapadnoye,modern_panel,euro,agency,21
Bogorodskoye,modern_panel,cosmetic,agency,21
Babushkinsky,monolith,cosmetic,agency,21
Zamoskvorechye,modern_panel,cosmetic,agency,21
Babushkinsky,brick,cosmetic,agency,21
Vostochnoye Izmaylovo,panel,cosmetic,agency,21
Tyoply Stan,modern_panel,cosmetic,agency,21
Izmaylovo,panel,euro,agency,21
Perovo,brick,cosmetic,agency,21
Voskresenskoye,khrushchev,cosmetic,agency,21
Mikhaylovo-Yartsevskoye,modern_panel,euro,agency,21
Zapadnoye Degunino,brick,cosmetic,agency,21
Sosenskoye,brick,cosmetic,agency,21
Begovoy,modern_panel,cosmetic,agency,21
Altufyevsky,panel,cosmetic,agency,21
Sviblovo,panel,cosmetic,agency,21
Solntsevo,brick,cosmetic,agency,20
Ochakovo-Matveyevskoye,brick,cosmetic,agency,20
Severnoye Izmaylovo,panel,euro,agency,20
Krylatskoye,khrushchev,cosmetic,agency,20
Troitsk,modern_panel,euro,agency,20
Filyovsky Park,modern_panel,euro,agency,20
Khovrino,brick,cosmetic,agency,20
Akademichesky,monolith,euro,agency,20
Mozhaysky,modern_panel,cosmetic,agency,20
Rogovskoye,monolith,cosmetic,agency,20
Vostochny,panel,cosmetic,agency,20
Sokol,panel,euro,agency,20
Marushkinskoye,panel,cosmetic,agency,20
Filyovsky Park,monolith,euro,agency,20
Yuzhnoye Tushino,modern_panel,cosmetic,agency,20
Krasnopakhorskoye,panel,euro,agency,20
Voskresenskoye,brick,cosmetic,agency,20
Chertanovo Severnoye,brick,cosmetic,agency,20
Kurkino,modern_panel,cosmetic,agency,20
Begovoy,monolith,cosmetic,agency,20
Voykovsky,monolith,cosmetic,agency,20
Sviblovo,modern_panel,euro,agency,20
Moskovsky,modern_panel,euro,agency,20
Tyoply Stan,monolith,euro,agency,20
Lianozovo,brick,cosmetic,agency,20
Golyanovo,modern_panel,cosmetic,agency,20
Novogireyevo,panel,cosmetic,agency,20
Kotlovka,brick,euro,agency,20
Bogorodskoye,brick,cosmetic,agency,20
Beskudnikovsky,brick,cosmetic,agency,20
Sokolinaya Gora,panel,euro,agency,20
Gagarinsky,monolith,cosmetic,agency,20
Vnukovo,monolith,euro,agency,20
Severnoye Butovo,panel,euro,agency,20
Troparyovo-Nikulino,monolith,cosmetic,agency,20
Otradnoye,brick,cosmetic,agency,20
Pervomayskoye,modern_panel,euro,agency,20
Mosrentgen,monolith,euro,agency,20
Krasnoselsky,panel,cosmetic,agency,20
Dorogomilovo,brick,euro,agency,20
Nagorny,panel,euro,agency,20
Filyovsky Park,panel,euro,agency,20
Shchukino,panel,cosmetic,agency,20
Yakimanka,panel,cosmetic,agency,20
Dmitrovsky,brick,cosmetic,agency,20
Dorogomilovo,khrushchev,cosmetic,agency,20
Novokosino,monolith,euro,agency,20
Shchapovskoye,modern_panel,cosmetic,agency,20
Akademichesky,modern_panel,euro,agency,20
Tverskoy,monolith,cosmetic,agency,20
Molzhaninovsky,modern_panel,cosmetic,agency,20
Mikhaylovo-Yartsevskoye,modern_panel,cosmetic,agency,20
Basmanny,monolith,cosmetic,agency,20
Yuzhnoye Tushino,panel,cosmetic,agency,20
Perovo,monolith,euro,agency,20
Perovo,panel,euro,agency,20
Kokoshkino,brick,cosmetic,agency,20
Obruchevsky,panel,euro,agency,20
Yasenevo,modern_panel,euro,agency,20
Maryina Roshcha,monolith,euro,agency,20
Kievsky,panel,euro,agency,20
Biryulyovo Vostochnoye,panel,euro,agency,20
Altufyevsky,brick,cosmetic,agency,20
Mikhaylovo-Yartsevskoye,brick,cosmetic,agency,20
Tverskoy,khrushchev,euro,agency,20
Khoroshyovo-Mnyovniki,brick,euro,agency,20
Strogino,panel,euro,agency,20
Veshnyaki,panel,cosmetic,agency,20
Vnukovo,panel,cosmetic,agency,20
Marfino,panel,cosmetic,agency,20
Solntsevo,panel,euro,agency,20
Metrogorodok,modern_panel,cosmetic,agency,20
Novofyodorovskoye,monolith,euro,agency,20
Meshchansky,monolith,cosmetic,agency,20
Moskvorechye-Saburovo,modern_panel,cosmetic,owner,20
Chertanovo Yuzhnoye,brick,cosmetic,agency,20
Novo-Peredelkino,modern_panel,cosmetic,agency,20
Ochakovo-Matveyevskoye,monolith,euro,agency,20
Losinoostrovsky,panel,cosmetic,agency,20
Yuzhnoye Tushino,khrushchev,euro,agency,19
Begovoy,monolith,euro,agency,19
Khamovniki,brick,cosmetic,agency,19
Molzhaninovsky,panel,cosmetic,agency,19
Brateyevo,monolith,cosmetic,owner,19
Sviblovo,monolith,cosmetic,agency,19
Pervomayskoye,monolith,euro,agency,19
Khoroshyovsky,monolith,cosmetic,agency,19
Kokoshkino,modern_panel,cosmetic,agency,19
Krylatskoye,monolith,cosmetic,agency,19
Krasnopakhorskoye,khrushchev,cosmetic,agency,19
Arbat,modern_panel,cosmetic,agency,19
Kosino-Ukhtomsky,khrushchev,euro,agency,19
Tagansky,khrushchev,cosmetic,agency,19
Molzhaninovsky,brick,cosmetic,agency,19
Vnukovskoye,monolith,cosmetic,agency,19
Alekseevsky,monolith,cosmetic,agency,19
Yasenevo,panel,cosmetic,agency,19
Aeroport,panel,cosmetic,owner,19
Chertanovo Yuzhnoye,panel,euro,agency,19
Konkovo,monolith,cosmetic,agency,19
Timiryazevsky,modern_panel,no_renovation,agency,19
Severnoye Tushino,monolith,cosmetic,agency,19
Khoroshyovsky,brick,cosmetic,agency,19
Yuzhnoye Butovo,khrushchev,cosmetic,agency,19
Khoroshyovsky,modern_panel,euro,agency,19
Yaroslavsky,monolith,cosmetic,agency,19
Novo-Peredelkino,modern_panel,euro,agency,19
Tyoply Stan,brick,cosmetic,agency,19
Klyonovskoye,brick,euro,agency,19
Chertanovo Tsentralnoye,modern_panel,cosmetic,agency,19
Mozhaysky,brick,euro,agency,19
Shchapovskoye,monolith,cosmetic,agency,19
Losinoostrovsky,monolith,euro,agency,19
Tverskoy,modern_panel,cosmetic,agency,19
Fili-Davydkovo,khrushchev,euro,agency,19
Mozhaysky,monolith,cosmetic,agency,19
Moskvorechye-Saburovo,khrushchev,cosmetic,agency,19
Alekseevsky,panel,cosmetic,agency,19
Pervomayskoye,panel,cosmetic,agency,19
Voykovsky,monolith,euro,agency,19
Krasnopakhorskoye,monolith,euro,agency,19
Marfino,brick,euro,agency,19
Chertanovo Tsentralnoye,monolith,cosmetic,agency,19
Vnukovskoye,panel,cosmetic,agency,19
Chertanovo Yuzhnoye,monolith,euro,agency,19
Dorogomilovo,modern_panel,cosmetic,agency,19
Vostochnoye Izmaylovo,brick,cosmetic,agency,19
Solntsevo,monolith,cosmetic,agency,19
Novokosino,modern_panel,euro,agency,19
Butyrsky,modern_panel,euro,agency,19
Tyoply Stan,panel,cosmetic,agency,19
Kokoshkino,panel,cosmetic,agency,19
Voykovsky,brick,cosmetic,agency,19
Voykovsky,modern_panel,cosmetic,agency,19
Altufyevsky,modern_panel,no_renovation,agency,19
Tagansky,panel,cosmetic,agency,19
Gagarinsky,khrushchev,euro,agency,19
Preobrazhenskoye,brick,cosmetic,agency,19
Altufyevsky,monolith,euro,agency,19
Vostochny,modern_panel,cosmetic,agency,19
Sokolniki,monolith,cosmetic,agency,19
Levoberezhny,brick,cosmetic,agency,19
Novofyodorovskoye,khrushchev,cosmetic,agency,19
Marushkinskoye,modern_panel,cosmetic,agency,19
Meshchansky,panel,euro,agency,19
Khoroshyovsky,panel,cosmetic,agency,19
Bibirevo,panel,euro,agency,19
Yaroslavsky,panel,cosmetic,agency,19
Ochakovo-Matveyevskoye,modern_panel,cosmetic,agency,19
Kuntsevo,monolith,euro,agency,18
Preobrazhenskoye,khrushchev,cosmetic,agency,18
Bibirevo,monolith,euro,agency,18
Butyrsky,monolith,cosmetic,owner,18
Bibirevo,brick,cosmetic,agency,18
Vostochnoye Izmaylovo,monolith,cosmetic,owner,18
Lomonosovsky,brick,cosmetic,agency,18
Voskresenskoye,modern_panel,euro,agency,18
Losinoostrovsky,modern_panel,cosmetic,agency,18
Kuntsevo,khrushchev,cosmetic,agency,18
Orekhovo-Borisovo Severnoye,khrushchev,cosmetic,agency,18
Losinoostrovsky,panel,euro,agency,18
Begovoy,khrushchev,euro,agency,18
Marfino,brick,cosmetic,agency,18
Biryulyovo Zapadnoye,panel,euro,agency,18
Kosino-Ukhtomsky,modern_panel,euro,agency,18
Sosenskoye,panel,cosmetic,agency,18
Ramenki,khrushchev,cosmetic,agency,18
Orekhovo-Borisovo Severnoye,brick,cosmetic,agency,18
Yasenevo,monolith,cosmetic,agency,18
Shchukino,monolith,euro,agency,18
Lianozovo,modern_panel,euro,agency,18
Zelenograd,brick,cosmetic,agency,18
Yuzhnoye Tushino,modern_panel,euro,agency,18
Fili-Davydkovo,panel,cosmetic,agency,18
Zelenograd,panel,euro,agency,18
Fili-Davydkovo,modern_panel,euro,agency,18
Preobrazhenskoye,panel,cosmetic,agency,18
Novogireyevo,modern_panel,cosmetic,agency,18
Yuzhnoye Tushino,brick,euro,agency,18
Brateyevo,panel,euro,agency,18
Shchapovskoye,brick,euro,agency,18
Zyablikovo,modern_panel,euro,agency,18
Chertanovo Yuzhnoye,modern_panel,cosmetic,agency,18
Donskoy,panel,cosmetic,agency,18
Filimonkovskoye,monolith,cosmetic,agency,18
Zyablikovo,brick,cosmetic,agency,18
Shcherbinka,panel,cosmetic,agency,18
Strogino,monolith,cosmetic,agency,18
Moskvorechye-Saburovo,panel,cosmetic,agency,18
Chertanovo Severnoye,modern_panel,euro,agency,18
Ochakovo-Matveyevskoye,monolith,cosmetic,agency,18
Butyrsky,monolith,cosmetic,agency,18
Lomonosovsky,brick,euro,agency,18
Aeroport,panel,cosmetic,agency,18
Khovrino,monolith,cosmetic,agency,18
Yuzhnoye Butovo,khrushchev,euro,agency,18
Severnoye Izmaylovo,panel,cosmetic,agency,18
Novofyodorovskoye,panel,euro,agency,18
Novo-Peredelkino,brick,cosmetic,agency,18
Biryulyovo Vostochnoye,panel,cosmetic,agency,18
Ostankinsky,panel,euro,agency,18
Ostankinsky,monolith,cosmetic,agency,18
Ostankinsky,panel,cosmetic,agency,18
Troparyovo-Nikulino,monolith,cosmetic,owner,18
Ryazanovskoye,brick,cosmetic,agency,18
Dorogomilovo,modern_panel,no_renovation,agency,18
Novokosino,monolith,cosmetic,owner,18
Izmaylovo,khrushchev,cosmetic,agency,18
Dmitrovsky,modern_panel,euro,agency,18
Kuntsevo,brick,cosmetic,agency,18
Sosenskoye,monolith,cosmetic,agency,18
Yuzhnoye Butovo,monolith,cosmetic,agency,18
Yuzhnoye Butovo,panel,cosmetic,agency,18
Sviblovo,monolith,euro,agency,18
Yuzhnoye Medvedkovo,brick,euro,agency,18
Kokoshkino,khrushchev,cosmetic,agency,18
Krasnopakhorskoye,modern_panel,euro,agency,18
Filyovsky Park,brick,cosmetic,agency,18
Filimonkovskoye,panel,cosmetic,agency,18
Dorogomilovo,modern_panel,euro,agency,18
Bogorodskoye,khrushchev,cosmetic,agency,18
Zyuzino,khrushchev,cosmetic,agency,18
Filimonkovskoye,panel,cosmetic,owner,18
Zyuzino,panel,cosmetic,agency,18
Novogireyevo,panel,cosmetic,owner,18
Tsaritsyno,brick,cosmetic,agency,18
Biryulyovo Zapadnoye,modern_panel,cosmetic,agency,18
Nagatinsky Zaton,modern_panel,euro,agency,18
Mitino,panel,euro,agency,18
Basmanny,brick,cosmetic,agency,18
Krylatskoye,modern_panel,cosmetic,agency,18
Voskresenskoye,panel,euro,agency,18
Kotlovka,modern_panel,cosmetic,agency,18
Golyanovo,brick,cosmetic,agency,18
Akademichesky,khrushchev,euro,agency,18
Sokolinaya Gora,modern_panel,cosmetic,agency,18
Zyablikovo,modern_panel,cosmetic,agency,18
Nagatinsky Zaton,panel,cosmetic,owner,18
Tyoply Stan,monolith,cosmetic,agency,18
Aeroport,brick,cosmetic,agency,18
Nagatino-Sadovniki,brick,euro,agency,18
Troitsk,monolith,euro,agency,18
Babushkinsky,khrushchev,cosmetic,agency,18
Moskovsky,monolith,cosmetic,agency,18
Altufyevsky,monolith,cosmetic,agency,18
Moskvorechye-Saburovo,brick,cosmetic,agency,18
Novogireyevo,monolith,cosmetic,agency,18
Nagatino-Sadovniki,monolith,euro,agency,18
Timiryazevsky,khrushchev,cosmetic,agency,18
Vnukovo,brick,cosmetic,agency,18
Alekseevsky,panel,euro,agency,18
Prospekt Vernadskogo,modern_panel,euro,agency,18
Mosrentgen,monolith,cosmetic,agency,18
Klyonovskoye,monolith,cosmetic,agency,17
Nagatinsky Zaton,monolith,euro,agency,17
Presnensky,monolith,cosmetic,agency,17
Chertanovo Severnoye,brick,euro,agency,17
Mikhaylovo-Yartsevskoye,monolith,euro,agency,17
Ryazanovskoye,khrushchev,cosmetic,agency,17
Savyolovsky,khrushchev,cosmetic,agency,17
Vostochny,monolith,euro,agency,17
Khoroshyovo-Mnyovniki,monolith,euro,agency,17
Alekseevsky,monolith,euro,agency,17
Zyuzino,brick,cosmetic,agency,17
Pokrovskoye-Streshnevo,modern_panel,no_renovation,agency,17
Mosrentgen,panel,cosmetic,agency,17
Nagatinsky Zaton,panel,euro,agency,17
Donskoy,modern_panel,euro,agency,17
Desyonovskoye,monolith,cosmetic,agency,17
Brateyevo,monolith,euro,agency,17
Levoberezhny,brick,no_renovation,agency,17
Konkovo,modern_panel,euro,agency,17
Brateyevo,modern_panel,euro,agency,17
Moskovsky,modern_panel,cosmetic,agency,17
Dmitrovsky,panel,euro,agency,17
Shcherbinka,panel,euro,agency,17
Zapadnoye Degunino,khrushchev,cosmetic,agency,17
Danilovsky,monolith,euro,agency,17
Metrogorodok,monolith,cosmetic,agency,17
Koptevo,khrushchev,cosmetic,agency,17
Levoberezhny,brick,euro,agency,17
Tverskoy,monolith,euro,agency,17
Severnoye Izmaylovo,brick,euro,agency,17
Ostankinsky,brick,cosmetic,agency,17
Marfino,khrushchev,cosmetic,agency,17
Shchukino,modern_panel,no_renovation,agency,17
Veshnyaki,brick,euro,agency,17
Krasnoselsky,brick,euro,agency,17
Pokrovskoye-Streshnevo,panel,cosmetic,agency,17
Zyablikovo,brick,euro,agency,17
Kotlovka,modern_panel,euro,agency,17
Dmitrovsky,khrushchev,euro,agency,17
Prospekt Vernadskogo,monolith,euro,agency,17
Sokol,brick,euro,agency,17
Zyablikovo,panel,cosmetic,agency,17
Butyrsky,panel,cosmetic,agency,17
Kurkino,khrushchev,cosmetic,agency,17
Sosenskoye,khrushchev,cosmetic,agency,17
Levoberezhny,panel,cosmetic,agency,17
Yaroslavsky,monolith,no_renovation,agency,17
Biryulyovo Vostochnoye,monolith,cosmetic,agency,17
Kokoshkino,brick,cosmetic,owner,17
Arbat,brick,euro,agency,17
Obruchevsky,panel,cosmetic,agency,17
Sokol,monolith,no_renovation,agency,17
Kotlovka,khrushchev,cosmetic,agency,17
Filimonkovskoye,monolith,no_renovation,agency,17
Chertanovo Severnoye,monolith,cosmetic,agency,17
Kievsky,monolith,no_renovation,agency,17
Novo-Peredelkino,khrushchev,cosmetic,agency,17
Lianozovo,panel,euro,agency,17
Arbat,monolith,cosmetic,agency,17
Ivanovskoye,panel,euro,agency,17
Levoberezhny,monolith,euro,agency,17
Konkovo,monolith,euro,agency,17
Solntsevo,modern_panel,cosmetic,agency,17
Rogovskoye,khrushchev,cosmetic,agency,17
