DISTRICT,AVG_PROPERTY_PRICE,AVG_MONTHLY_RENT,RENTAL_YIELD_PCT
Yuzhnoye Medvedkovo,10323792.405063,43223.750000,5.02
Krylatskoye,17155903.954802,71742.011834,5.02
Zyuzino,14560504.000000,60911.180124,5.02
Altufyevsky,9526031.941032,39788.819876,5.01
Strogino,20504869.230769,85452.054795,5.00
Zyablikovo,8966680.628272,37236.571429,4.98
Kosino-Ukhtomsky,8989445.292621,37221.323529,4.97
Mozhaysky,13520394.812680,55831.914894,4.96
Bibirevo,10014874.396135,41404.938272,4.96
Brateyevo,8993051.851852,37124.431818,4.95
Zapadnoye Degunino,9799855.191257,40431.578947,4.95
Lianozovo,9533561.497326,39320.437956,4.95
Tyoply Stan,13062753.623188,53826.315789,4.94
Troparyovo-Nikulino,18455100.271003,75777.181208,4.93
Orekhovo-Borisovo Severnoye,9204275.324675,37707.831325,4.92
Levoberezhny,12030679.104478,49215.976331,4.91
Babushkinsky,10735130.102041,43918.115942,4.91
Cheryomushki,18982748.743719,77684.666667,4.91
Golovinsky,11085143.920596,45235.365854,4.90
Biryulyovo Zapadnoye,8906522.613065,36289.473684,4.89
Yuzhnoye Tushino,12372814.323607,50346.666667,4.88
Sviblovo,12381088.669951,50316.339869,4.88
Preobrazhenskoye,16069830.423940,65188.819876,4.87
Beskudnikovsky,9743183.561644,39438.823529,4.86
Lomonosovsky,20221641.826923,81682.894737,4.85
Shchukino,18183526.582278,73515.189873,4.85
Chertanovo Severnoye,12235517.948718,49404.242424,4.85
Kuntsevo,15110672.086721,60897.080292,4.84
Pokrovskoye-Streshnevo,13415007.894737,54029.813665,4.83
Golyanovo,10311711.640212,41468.553459,4.83
Mosrentgen,10029524.861878,40295.973154,4.82
Orekhovo-Borisovo Yuzhnoye,8990522.673031,36086.131387,4.82
Novokosino,9947982.673267,39914.814815,4.81
Marfino,10989013.262599,44049.696970,4.81
Prospekt Vernadskogo,20568103.864734,82523.287671,4.81
Nagorny,14780200.520833,59118.064516,4.80
Vostochny,8726846.153846,34904.054054,4.80
Ivanovskoye,10289299.734748,41152.032520,4.80
Chertanovo Tsentralnoye,10103038.251366,40314.864865,4.79
Izmaylovo,12623725.848564,50256.862745,4.78
Sokol,17582647.058824,70102.395210,4.78
Rostokino,11265869.565217,44842.580645,4.78
Bogorodskoye,11671514.588859,46357.407407,4.77
Voykovsky,14428480.392157,57247.560976,4.76
Ochakovo-Matveyevskoye,13924609.756098,55176.829268,4.76
Koptevo,11239851.540616,44413.855422,4.74
Fili-Davydkovo,17577701.492537,69084.563758,4.72
Krasnoselsky,23971069.832402,94334.000000,4.72
Severnoye Medvedkovo,10305538.271605,40482.608696,4.71
Sokolinaya Gora,11705802.666667,45817.197452,4.70
Filyovsky Park,18613410.447761,72638.732394,4.68
Konkovo,14099775.362319,54760.839161,4.66
Sokolniki,15522917.142857,60142.073171,4.65
Nagatinsky Zaton,12868059.585492,49894.230769,4.65
Kotlovka,16281500.000000,62903.468208,4.64
Vostochnoye Izmaylovo,11152040.000000,43161.635220,4.64
Metrogorodok,10729964.577657,41252.173913,4.61
Presnensky,33327328.282828,127950.322581,4.61
Ostankinsky,14310963.730570,54864.052288,4.60
Akademichesky,17419815.789474,66583.333333,4.59
Savyolovsky,15751182.795699,60107.792208,4.58
Gagarinsky,21127148.825065,80306.622517,4.56
Khoroshyovo-Mnyovniki,15649523.545706,59449.122807,4.56
Khoroshyovsky,17888808.673469,67888.235294,4.55
Zamoskvorechye,28598580.882353,108487.837838,4.55
Nagatino-Sadovniki,12949312.154696,48781.987578,4.52
Begovoy,18132149.769585,68348.905109,4.52
Aeroport,14911720.101781,56054.666667,4.51
Yakimanka,32078469.816273,120000.000000,4.49
Basmanny,24624597.989950,92218.079096,4.49
Alekseevsky,14697511.056511,54836.000000,4.48
Dorogomilovo,24627950.495050,91849.738220,4.48
Arbat,34954849.624060,129306.410256,4.44
Danilovsky,15150591.036415,56102.580645,4.44
Timiryazevsky,14949047.505938,55360.273973,4.44
Ramenki,19199202.631579,70570.807453,4.41
Tverskoy,35022129.113924,127923.021583,4.38
Tagansky,24166029.569892,87688.815789,4.35
Meshchansky,27172990.024938,98547.945205,4.35
Butyrsky,14039148.437500,50689.285714,4.33
Maryina Roshcha,14910450.000000,53336.645963,4.29
Donskoy,16641639.344262,58581.065089,4.22
Khamovniki,36474342.710997,124225.352113,4.09
