DISTRICT,BUILDING_TYPE,ROOMS,TO_CENTER_KM,AVG_PRICE_PER_SQM
Tverskoy,panel,3,1.19,363100.00
Tverskoy,khrushchev,2,1.19,297700.00
Zamoskvorechye,modern_panel,4,1.19,485000.00
Maryina Roshcha,brick,1,1.19,232100.00
Arbat,panel,3,1.2,515800.00
Zamoskvorechye,panel,1,1.2,437800.00
Arbat,monolith,4,1.2,468500.00
Arbat,panel,1,1.21,547050.00
Tverskoy,brick,4,1.21,473700.00
Dorogomilovo,modern_panel,3,1.21,479800.00
Zamoskvorechye,stalin,1,1.21,391800.00
Arbat,khrushchev,2,1.22,398200.00
Presnensky,monolith,2,1.22,525300.00
Arbat,panel,2,1.23,711100.00
Zamoskvorechye,panel,2,1.23,447400.00
Arbat,modern_panel,1,1.23,375300.00
Tverskoy,brick,2,1.23,548400.00
Presnensky,modern_panel,2,1.23,314700.00
Arbat,modern_panel,2,1.23,733900.00
Krasnoselsky,panel,2,1.24,326100.00
Tverskoy,brick,1,1.24,540800.00
Basmanny,modern_panel,2,1.24,354500.00
Presnensky,modern_panel,3,1.24,370700.00
Zamoskvorechye,khrushchev,2,1.24,396000.00
Arbat,stalin,2,1.25,802800.00
Yakimanka,monolith,1,1.25,454600.00
Arbat,monolith,3,1.25,495800.00
Tverskoy,panel,2,1.25,582000.00
Tagansky,monolith,5,1.25,318400.00
Arbat,khrushchev,3,1.26,474500.00
Arbat,panel,2,1.26,295400.00
Meshchansky,brick,2,1.26,322400.00
Zamoskvorechye,monolith,2,1.26,490300.00
Zamoskvorechye,khrushchev,1,1.26,394800.00
Presnensky,panel,1,1.26,520800.00
Dorogomilovo,brick,1,1.27,302700.00
Tverskoy,brick,3,1.27,508900.00
Tverskoy,modern_panel,3,1.27,511300.00
Meshchansky,panel,1,1.28,440300.00
Zamoskvorechye,monolith,3,1.28,593900.00
Zamoskvorechye,modern_panel,2,1.28,235000.00
Basmanny,panel,1,1.28,287300.00
Khamovniki,brick,2,1.29,571100.00
Tverskoy,stalin,3,1.29,753700.00
Zamoskvorechye,monolith,2,1.29,707700.00
Arbat,modern_panel,2,1.29,502800.00
Yakimanka,stalin,1,1.29,464200.00
Tverskoy,panel,1,1.29,364200.00
Tverskoy,panel,2,1.3,459900.00
Tverskoy,brick,2,1.3,472100.00
Presnensky,brick,4,1.3,692800.00
Yakimanka,khrushchev,2,1.3,445600.00
Tverskoy,panel,5,1.31,607600.00
Presnensky,modern_panel,2,1.31,423400.00
Tverskoy,monolith,3,1.31,527200.00
Arbat,monolith,2,1.31,379000.00
Arbat,modern_panel,2,1.31,417500.00
Basmanny,khrushchev,2,1.31,277300.00
Zamoskvorechye,modern_panel,3,1.32,291400.00
Krasnoselsky,stalin,1,1.32,417500.00
Arbat,brick,2,1.32,678600.00
Presnensky,brick,2,1.32,796800.00
Tagansky,modern_panel,2,1.32,297900.00
Tverskoy,brick,2,1.32,574700.00
Zamoskvorechye,panel,2,1.32,354500.00
Tverskoy,brick,3,1.33,551300.00
Zamoskvorechye,khrushchev,2,1.33,411000.00
Zamoskvorechye,stalin,2,1.33,425000.00
Tverskoy,modern_panel,1,1.33,533000.00
Tverskoy,modern_panel,2,1.33,402800.00
Zamoskvorechye,modern_panel,3,1.33,428400.00
Arbat,modern_panel,4,1.33,648600.00
Zamoskvorechye,brick,2,1.33,255300.00
Yakimanka,modern_panel,5,1.33,451800.00
Arbat,panel,1,1.34,342400.00
Arbat,brick,2,1.34,741600.00
Meshchansky,stalin,3,1.34,547700.00
Tverskoy,stalin,5,1.34,495500.00
Tverskoy,brick,2,1.34,472000.00
Tverskoy,panel,2,1.35,729800.00
Presnensky,monolith,2,1.35,554100.00
Arbat,modern_panel,2,1.35,706800.00
Basmanny,stalin,3,1.35,385700.00
Tverskoy,khrushchev,2,1.35,476700.00
Arbat,monolith,3,1.36,790600.00
Arbat,modern_panel,2,1.36,566900.00
Arbat,khrushchev,2,1.36,397100.00
Arbat,panel,1,1.36,495200.00
Khamovniki,brick,1,1.36,410000.00
Arbat,panel,2,1.36,625150.00
Arbat,brick,2,1.37,664600.00
Basmanny,modern_panel,3,1.37,325800.00
Yakimanka,panel,1,1.37,315500.00
Tverskoy,monolith,2,1.37,678700.00
Meshchansky,brick,4,1.38,423600.00
Zamoskvorechye,monolith,3,1.38,449800.00
Arbat,monolith,2,1.38,505700.00
Tverskoy,panel,1,1.39,412000.00
Tverskoy,khrushchev,1,1.39,382500.00
Krasnoselsky,panel,3,1.39,425800.00
Arbat,khrushchev,5,1.39,401200.00
Arbat,monolith,1,1.4,466200.00
Arbat,khrushchev,2,1.4,450700.00
Meshchansky,khrushchev,2,1.4,262200.00
Arbat,monolith,4,1.4,685200.00
Yakimanka,modern_panel,4,1.4,621300.00
Presnensky,khrushchev,2,1.4,347800.00
Arbat,panel,3,1.4,448500.00
Tagansky,modern_panel,1,1.4,260900.00
Zamoskvorechye,khrushchev,2,1.41,299700.00
Yakimanka,brick,3,1.41,427500.00
Arbat,monolith,2,1.41,575500.00
Tverskoy,stalin,2,1.41,560800.00
Yakimanka,brick,2,1.41,510500.00
Arbat,stalin,1,1.42,851100.00
Zamoskvorechye,khrushchev,2,1.42,231200.00
Arbat,monolith,4,1.43,772300.00
Presnensky,stalin,3,1.43,871200.00
Krasnoselsky,brick,3,1.43,328900.00
Arbat,monolith,2,1.43,553400.00
Tverskoy,panel,2,1.43,521150.00
Krasnoselsky,monolith,2,1.43,343800.00
Meshchansky,panel,5,1.43,414900.00
Tverskoy,panel,3,1.44,476900.00
Arbat,khrushchev,2,1.44,535200.00
Arbat,monolith,3,1.45,631900.00
Presnensky,modern_panel,1,1.45,395500.00
Tverskoy,khrushchev,1,1.45,332000.00
Zamoskvorechye,khrushchev,2,1.45,354600.00
Zamoskvorechye,modern_panel,1,1.45,445400.00
Presnensky,panel,2,1.45,372800.00
Tverskoy,modern_panel,2,1.45,643100.00
Zamoskvorechye,monolith,2,1.46,363200.00
Zamoskvorechye,panel,2,1.46,381800.00
Yakimanka,monolith,3,1.46,368300.00
Zamoskvorechye,brick,1,1.46,334600.00
Zamoskvorechye,brick,2,1.46,459100.00
Tverskoy,modern_panel,1,1.46,419700.00
Yakimanka,brick,1,1.46,591100.00
Meshchansky,panel,3,1.46,381700.00
Tverskoy,panel,2,1.47,555700.00
Zamoskvorechye,monolith,2,1.47,756100.00
Arbat,stalin,2,1.47,844900.00
Tverskoy,modern_panel,3,1.47,635700.00
Meshchansky,panel,2,1.48,308300.00
Tverskoy,monolith,2,1.48,488400.00
Presnensky,khrushchev,2,1.48,624400.00
Khamovniki,panel,1,1.48,525800.00
Meshchansky,panel,4,1.48,253300.00
Tverskoy,khrushchev,2,1.48,332300.00
Arbat,monolith,1,1.48,392700.00
Tverskoy,brick,2,1.48,493700.00
Arbat,monolith,1,1.49,482600.00
Tverskoy,modern_panel,3,1.49,367900.00
Arbat,stalin,1,1.49,373600.00
Zamoskvorechye,monolith,3,1.49,411600.00
Krasnoselsky,monolith,1,1.49,433200.00
Meshchansky,monolith,2,1.5,395900.00
Tverskoy,khrushchev,2,1.5,277200.00
Presnensky,stalin,1,1.5,553400.00
Yakimanka,panel,2,1.5,527600.00
Krasnoselsky,stalin,2,1.5,454300.00
Tagansky,panel,3,1.51,425400.00
Arbat,panel,3,1.51,518000.00
Yakimanka,panel,2,1.51,549100.00
Zamoskvorechye,monolith,1,1.51,363900.00
Tverskoy,modern_panel,2,1.51,725100.00
Arbat,modern_panel,3,1.51,556800.00
Yakimanka,brick,2,1.51,716300.00
Basmanny,monolith,3,1.52,526900.00
Tverskoy,brick,2,1.52,412400.00
Zamoskvorechye,monolith,2,1.52,699200.00
Arbat,brick,1,1.52,534200.00
Tverskoy,panel,1,1.52,607800.00
Yakimanka,panel,2,1.52,398400.00
Arbat,brick,2,1.53,351500.00
Presnensky,khrushchev,3,1.53,543100.00
Zamoskvorechye,panel,3,1.53,258200.00
Zamoskvorechye,modern_panel,5,1.53,420200.00
Zamoskvorechye,stalin,4,1.53,455400.00
Tverskoy,khrushchev,3,1.53,348700.00
Arbat,khrushchev,2,1.53,555200.00
Presnensky,brick,1,1.54,316300.00
Basmanny,monolith,2,1.54,332500.00
Khamovniki,stalin,2,1.54,759200.00
Zamoskvorechye,modern_panel,4,1.54,424300.00
Zamoskvorechye,panel,4,1.54,288300.00
Tverskoy,modern_panel,3,1.54,603700.00
Khamovniki,panel,4,1.54,672100.00
Yakimanka,monolith,4,1.54,471100.00
Yakimanka,modern_panel,1,1.54,334800.00
Tverskoy,monolith,4,1.54,472500.00
Arbat,khrushchev,2,1.54,311400.00
Zamoskvorechye,monolith,1,1.54,300700.00
Zamoskvorechye,panel,2,1.55,317800.00
Arbat,panel,3,1.55,711200.00
Yakimanka,khrushchev,1,1.55,310700.00
Meshchansky,monolith,1,1.56,247300.00
Presnensky,modern_panel,4,1.56,475200.00
Arbat,panel,4,1.56,485800.00
Yakimanka,brick,1,1.56,583200.00
Zamoskvorechye,modern_panel,2,1.56,373000.00
Meshchansky,khrushchev,3,1.57,416900.00
Zamoskvorechye,modern_panel,3,1.57,333600.00
Krasnoselsky,modern_panel,3,1.57,459000.00
Zamoskvorechye,brick,2,1.57,357300.00
Tverskoy,modern_panel,1,1.57,404800.00
Arbat,modern_panel,2,1.58,537100.00
Yakimanka,monolith,2,1.58,499000.00
Zamoskvorechye,khrushchev,2,1.58,372400.00
Zamoskvorechye,stalin,2,1.58,841900.00
Arbat,brick,5,1.58,540900.00
Zamoskvorechye,modern_panel,2,1.58,368500.00
Meshchansky,modern_panel,2,1.58,355400.00
Zamoskvorechye,panel,2,1.58,318400.00
Arbat,panel,3,1.59,559100.00
Arbat,modern_panel,2,1.59,546400.00
Tverskoy,brick,1,1.59,512700.00
Yakimanka,khrushchev,3,1.59,284100.00
Zamoskvorechye,panel,3,1.59,456400.00
Khamovniki,brick,3,1.59,593300.00
Khamovniki,panel,3,1.59,547400.00
Khamovniki,modern_panel,2,1.6,742900.00
Zamoskvorechye,modern_panel,2,1.6,404700.00
Zamoskvorechye,panel,2,1.6,479500.00
Tverskoy,brick,3,1.61,490200.00
Tverskoy,brick,1,1.61,685300.00
Yakimanka,panel,2,1.61,390700.00
Yakimanka,stalin,1,1.61,558500.00
Arbat,khrushchev,1,1.61,489300.00
Zamoskvorechye,monolith,3,1.61,270500.00
Zamoskvorechye,modern_panel,3,1.61,371800.00
Tverskoy,stalin,3,1.61,444800.00
Zamoskvorechye,brick,2,1.62,363900.00
Meshchansky,panel,3,1.62,406300.00
Basmanny,monolith,2,1.62,410200.00
Tagansky,monolith,1,1.62,494500.00
Savyolovsky,brick,3,1.62,382300.00
Dorogomilovo,modern_panel,2,1.62,361800.00
Arbat,khrushchev,1,1.62,422100.00
Basmanny,modern_panel,5,1.62,343600.00
Arbat,panel,2,1.62,550500.00
Arbat,stalin,1,1.62,540800.00
Arbat,modern_panel,1,1.62,613900.00
Arbat,modern_panel,3,1.63,510600.00
Tverskoy,khrushchev,2,1.63,436500.00
Zamoskvorechye,modern_panel,3,1.63,466900.00
Arbat,brick,2,1.63,560400.00
Yakimanka,brick,4,1.63,478300.00
Arbat,khrushchev,1,1.63,462100.00
Khamovniki,panel,1,1.63,598100.00
Arbat,modern_panel,2,1.63,569600.00
Zamoskvorechye,brick,2,1.63,408400.00
Tverskoy,khrushchev,1,1.64,632200.00
Arbat,panel,3,1.64,329000.00
Yakimanka,modern_panel,2,1.64,323600.00
Presnensky,khrushchev,2,1.64,579800.00
Arbat,panel,2,1.65,382700.00
Dorogomilovo,modern_panel,1,1.65,377100.00
Zamoskvorechye,brick,2,1.65,371600.00
Arbat,monolith,3,1.65,628400.00
Arbat,modern_panel,1,1.65,474500.00
Presnensky,brick,1,1.65,449300.00
Tverskoy,panel,2,1.65,489200.00
Meshchansky,modern_panel,2,1.65,235900.00
Arbat,brick,3,1.65,513800.00
Tagansky,monolith,1,1.66,274500.00
Zamoskvorechye,monolith,1,1.66,543500.00
Yakimanka,khrushchev,2,1.66,426400.00
Meshchansky,panel,2,1.66,289000.00
Arbat,monolith,3,1.66,449500.00
Presnensky,monolith,1,1.66,470700.00
Zamoskvorechye,panel,3,1.66,476450.00
Zamoskvorechye,brick,1,1.66,359000.00
Arbat,brick,3,1.66,574700.00
Arbat,monolith,1,1.66,519900.00
Zamoskvorechye,khrushchev,1,1.66,334600.00
Tagansky,modern_panel,1,1.66,452800.00
Krasnoselsky,khrushchev,3,1.67,244500.00
Donskoy,modern_panel,1,1.67,314400.00
Zamoskvorechye,monolith,1,1.67,405000.00
Meshchansky,modern_panel,1,1.67,450900.00
Khamovniki,panel,2,1.67,480000.00
Zamoskvorechye,monolith,2,1.67,438700.00
Yakimanka,panel,3,1.67,324800.00
Maryina Roshcha,monolith,4,1.67,268300.00
Arbat,brick,5,1.67,442700.00
Zamoskvorechye,khrushchev,2,1.67,287200.00
Arbat,monolith,2,1.67,537600.00
Yakimanka,monolith,2,1.68,562300.00
Tverskoy,panel,2,1.68,609500.00
Presnensky,modern_panel,1,1.68,562400.00
Meshchansky,panel,2,1.68,289700.00
Zamoskvorechye,modern_panel,2,1.68,504500.00
Zamoskvorechye,brick,1,1.68,549500.00
Meshchansky,monolith,2,1.69,292100.00
Maryina Roshcha,brick,1,1.69,218400.00
Arbat,khrushchev,2,1.69,532200.00
Presnensky,panel,3,1.69,357700.00
Zamoskvorechye,panel,2,1.7,467800.00
Tverskoy,brick,2,1.7,537600.00
Tagansky,modern_panel,1,1.7,530000.00
Tverskoy,khrushchev,1,1.7,463300.00
Yakimanka,brick,4,1.7,552300.00
Presnensky,brick,2,1.7,712400.00
Zamoskvorechye,khrushchev,2,1.7,417400.00
Meshchansky,panel,1,1.71,285900.00
Yakimanka,monolith,2,1.71,341300.00
Zamoskvorechye,khrushchev,2,1.71,428500.00
Khamovniki,stalin,2,1.71,512500.00
Meshchansky,stalin,1,1.71,589900.00
Tagansky,khrushchev,5,1.71,216400.00
Arbat,modern_panel,2,1.71,616900.00
Arbat,panel,1,1.71,598200.00
Zamoskvorechye,monolith,4,1.72,690700.00
Tagansky,monolith,2,1.72,300400.00
Tverskoy,brick,4,1.72,612100.00
Tverskoy,khrushchev,3,1.72,475800.00
Krasnoselsky,panel,4,1.72,276700.00
Zamoskvorechye,brick,1,1.72,679000.00
Yakimanka,panel,5,1.72,406700.00
Yakimanka,stalin,1,1.72,548100.00
Arbat,khrushchev,2,1.72,320600.00
Tverskoy,panel,3,1.73,291300.00
Arbat,panel,2,1.73,435000.00
Presnensky,monolith,3,1.73,462900.00
Zamoskvorechye,panel,5,1.73,480000.00
Zamoskvorechye,modern_panel,2,1.73,492100.00
Zamoskvorechye,brick,3,1.73,592500.00
Zamoskvorechye,brick,1,1.73,307300.00
Arbat,stalin,2,1.73,822900.00
Zamoskvorechye,panel,1,1.73,471900.00
Presnensky,panel,1,1.73,509100.00
Meshchansky,monolith,3,1.73,323700.00
Basmanny,panel,3,1.73,461600.00
Arbat,panel,1,1.73,629200.00
Zamoskvorechye,monolith,2,1.74,419800.00
Krasnoselsky,brick,1,1.74,380500.00
Meshchansky,panel,2,1.74,343000.00
Presnensky,brick,1,1.74,417800.00
Yakimanka,panel,2,1.74,583100.00
Tverskoy,brick,2,1.74,472800.00
Tverskoy,stalin,1,1.74,912100.00
Arbat,monolith,3,1.74,680500.00
Zamoskvorechye,panel,2,1.74,339100.00
Tverskoy,modern_panel,1,1.75,516700.00
Zamoskvorechye,khrushchev,3,1.75,296400.00
Basmanny,panel,1,1.75,372300.00
Tverskoy,monolith,2,1.75,332400.00
Yakimanka,monolith,2,1.75,432700.00
Arbat,modern_panel,2,1.75,426400.00
Yakimanka,panel,1,1.75,480400.00
Tagansky,brick,2,1.75,289500.00
Zamoskvorechye,stalin,3,1.75,781900.00
Yakimanka,modern_panel,1,1.76,589400.00
Yakimanka,brick,1,1.76,432900.00
Zamoskvorechye,khrushchev,2,1.76,320700.00
Arbat,khrushchev,2,1.76,353800.00
Arbat,stalin,2,1.76,391100.00
