YEAR_MONTH,DISTRICT,OKRUG,SECONDARY_PRICE_PER_SQM,RENTAL_PRICE_PER_SQM_MONTHLY,AVG_MORTGAGE_RATE_PCT
2020-03,Mosrentgen,NAO,146300,610,8.5
2020-03,Zelenograd,ZelAO,124900,520,8.5
2020-03,Pervomayskoye,TAO,81800,341,8.5
2020-03,Novogireyevo,VAO,186600,777,8.5
2020-03,Konkovo,YuZAO,247000,1029,8.5
2020-03,Lomonosovsky,YuZAO,326100,1359,8.5
2020-03,Koptevo,SAO,205400,856,8.5
2020-03,Severnoye Izmaylovo,VAO,197700,824,8.5
2020-03,Severny,SVAO,171300,714,8.5
2020-03,Preobrazhenskoye,VAO,210100,875,8.5
2020-03,Khamovniki,CAO,529000,2204,8.5
2020-03,Krasnopakhorskoye,TAO,88300,368,8.5
2020-03,Izmaylovo,VAO,208000,867,8.5
2020-03,Chertanovo Tsentralnoye,YuAO,186800,778,8.5
2020-03,Khoroshyovsky,SAO,270000,1125,8.5
2020-03,Yakimanka,CAO,468400,1952,8.5
2020-03,Molzhaninovsky,SAO,163000,679,8.5
2020-03,Voskresenskoye,NAO,143000,596,8.5
2020-03,Timiryazevsky,SAO,242500,1010,8.5
2020-03,Yuzhnoye Tushino,SZAO,228200,951,8.5
2020-03,Rogovskoye,TAO,75800,316,8.5
2020-03,Vnukovo,ZAO,190200,792,8.5
2020-03,Desyonovskoye,NAO,137100,571,8.5
2020-03,Akademichesky,YuZAO,288000,1200,8.5
2020-03,Ivanovskoye,VAO,185500,773,8.5
2020-03,Tyoply Stan,YuZAO,219800,916,8.5
2020-03,Krylatskoye,SZAO,297000,1238,8.5
2020-03,Ostankinsky,SVAO,237200,988,8.5
2020-03,Solntsevo,ZAO,217300,905,8.5
2020-03,Lianozovo,SVAO,177500,740,8.5
2020-03,Babushkinsky,SVAO,197600,823,8.5
2020-03,Ramenki,ZAO,340400,1418,8.5
2020-03,Marfino,SVAO,191500,798,8.5
2020-03,Nagatino-Sadovniki,YuAO,210700,878,8.5
2020-03,Pokrovskoye-Streshnevo,SZAO,235500,981,8.5
2020-03,Donskoy,YuAO,247900,1033,8.5
2020-03,Orekhovo-Borisovo Yuzhnoye,YuAO,163600,682,8.5
2020-03,Fili-Davydkovo,ZAO,289400,1206,8.5
2020-03,Severnoye Tushino,SZAO,223400,931,8.5
2020-03,Meshchansky,CAO,350700,1461,8.5
2020-03,Troparyovo-Nikulino,ZAO,292000,1217,8.5
2020-03,Otradnoye,SVAO,197300,822,8.5
2020-03,Filyovsky Park,ZAO,303300,1264,8.5
2020-03,Nagatinsky Zaton,YuAO,229100,955,8.5
2020-03,Mitino,SZAO,219400,914,8.5
2020-03,Tsaritsyno,YuAO,192900,804,8.5
2020-03,Danilovsky,YuAO,228300,951,8.5
2020-03,Kievsky,TAO,72700,303,8.5
2020-03,Losinoostrovsky,SVAO,189100,788,8.5
2020-03,Strogino,SZAO,286700,1195,8.5
2020-03,Rostokino,SVAO,193200,805,8.5
2020-03,Moskvorechye-Saburovo,YuAO,185000,771,8.5
2020-03,Arbat,CAO,502200,2093,8.5
2020-03,Butyrsky,SVAO,217700,907,8.5
2020-03,Nagorny,YuAO,209400,872,8.5
2020-03,Bibirevo,SVAO,179900,750,8.5
2020-03,Voronovskoye,TAO,77900,324,8.5
2020-03,Shchapovskoye,TAO,74700,311,8.5
2020-03,Orekhovo-Borisovo Severnoye,YuAO,171000,713,8.5
2020-03,Kurkino,SZAO,258500,1077,8.5
2020-03,Sviblovo,SVAO,190900,795,8.5
2020-03,Basmanny,CAO,368800,1537,8.5
2020-03,Zamoskvorechye,CAO,411700,1715,8.5
2020-03,Maryina Roshcha,SVAO,242800,1012,8.5
2020-03,Klyonovskoye,TAO,74200,309,8.5
2020-03,Krasnoselsky,CAO,367000,1529,8.5
2020-03,Zyablikovo,YuAO,169600,707,8.5
2020-04,Novokosino,VAO,184600,769,6.75
2020-04,Vostochny,VAO,162700,678,6.75
2020-04,Rogovskoye,TAO,72400,302,6.75
2020-04,Rostokino,SVAO,199100,830,6.75
2020-04,Yuzhnoye Tushino,SZAO,216900,904,6.75
2020-04,Konkovo,YuZAO,255400,1064,6.75
2020-04,Fili-Davydkovo,ZAO,274200,1143,6.75
2020-04,Vnukovskoye,NAO,151500,631,6.75
2020-04,Bibirevo,SVAO,189100,788,6.75
2020-04,Strogino,SZAO,283900,1183,6.75
2020-04,Tagansky,CAO,382200,1593,6.75
2020-04,Kuntsevo,ZAO,268500,1119,6.75
2020-04,Cheryomushki,YuZAO,272900,1137,6.75
2020-04,Severny,SVAO,160700,669,6.75
2020-04,Molzhaninovsky,SAO,159200,663,6.75
2020-04,Butyrsky,SVAO,229700,957,6.75
2020-04,Lomonosovsky,YuZAO,342900,1429,6.75
2020-04,Filyovsky Park,ZAO,308300,1285,6.75
2020-04,Otradnoye,SVAO,201700,840,6.75
2020-04,Filimonkovskoye,NAO,121400,506,6.75
2020-04,Chertanovo Tsentralnoye,YuAO,179400,748,6.75
2020-04,Krasnopakhorskoye,TAO,86300,360,6.75
2020-04,Moskovsky,NAO,157300,656,6.75
2020-04,Bogorodskoye,VAO,198700,828,6.75
2020-04,Preobrazhenskoye,VAO,207700,865,6.75
2020-04,Khoroshyovsky,SAO,283100,1180,6.75
2020-04,Babushkinsky,SVAO,215000,896,6.75
2020-04,Chertanovo Yuzhnoye,YuAO,177500,740,6.75
2020-04,Marushkinskoye,NAO,113600,473,6.75
2020-04,Yasenevo,YuZAO,252800,1053,6.75
2020-04,Lianozovo,SVAO,174600,727,6.75
2020-04,Yaroslavsky,SVAO,183800,766,6.75
2020-04,Khovrino,SAO,196400,818,6.75
2020-04,Donskoy,YuAO,262800,1095,6.75
2020-04,Severnoye Tushino,SZAO,219600,915,6.75
2020-04,Kotlovka,YuZAO,270200,1126,6.75
2020-04,Maryina Roshcha,SVAO,237900,991,6.75
2020-04,Tverskoy,CAO,491200,2047,6.75
2020-04,Mozhaysky,ZAO,250700,1044,6.75
2020-04,Golyanovo,VAO,179900,750,6.75
2020-04,Levoberezhny,SAO,196900,820,6.75
2020-04,Shcherbinka,NAO,142400,593,6.75
2020-04,Zelenograd,ZelAO,123100,513,6.75
2020-04,Pervomayskoye,TAO,81200,338,6.75
2020-04,Nagorny,YuAO,218300,910,6.75
2020-04,Moskvorechye-Saburovo,YuAO,189700,790,6.75
2020-04,Perovo,VAO,192300,801,6.75
2020-04,Solntsevo,ZAO,212200,884,6.75
2020-04,Ivanovskoye,VAO,183300,764,6.75
2020-04,Shchapovskoye,TAO,82000,342,6.75
2020-04,Basmanny,CAO,384700,1603,6.75
2020-04,Kievsky,TAO,74000,308,6.75
2020-04,Novo-Peredelkino,ZAO,210400,877,6.75
2020-04,Timiryazevsky,SAO,223400,931,6.75
2020-04,Koptevo,SAO,210600,877,6.75
2020-04,Kokoshkino,NAO,120400,502,6.75
2020-04,Biryulyovo Vostochnoye,YuAO,162000,675,6.75
2020-04,Khamovniki,CAO,546900,2279,6.75
2020-04,Mitino,SZAO,215000,896,6.75
2020-04,Begovoy,SAO,267300,1114,6.75
2020-04,Beskudnikovsky,SAO,187200,780,6.75
2020-04,Akademichesky,YuZAO,286400,1193,6.75
2020-04,Yuzhnoye Medvedkovo,SVAO,197100,821,6.75
2020-04,Krasnoselsky,CAO,357700,1491,6.75
2020-04,Yuzhnoye Butovo,YuZAO,210300,876,6.75
2020-04,Sokolniki,VAO,224800,937,6.75
2020-04,Orekhovo-Borisovo Yuzhnoye,YuAO,172400,718,6.75
2020-04,Voykovsky,SAO,216400,902,6.75
2020-04,Savyolovsky,SAO,258600,1078,6.75
2020-04,Kosino-Ukhtomsky,VAO,158900,662,6.75
2020-04,Losinoostrovsky,SVAO,184900,770,6.75
2020-04,Prospekt Vernadskogo,ZAO,316300,1318,6.75
2020-04,Danilovsky,YuAO,252000,1050,6.75
2020-04,Ostankinsky,SVAO,229400,956,6.75
2020-04,Krylatskoye,SZAO,300700,1253,6.75
2020-04,Severnoye Medvedkovo,SVAO,189400,789,6.75
2020-04,Zyuzino,YuZAO,264500,1102,6.75
2020-04,Brateyevo,YuAO,167400,698,6.75
2020-04,Presnensky,CAO,460100,1917,6.75
2020-04,Tyoply Stan,YuZAO,225000,938,6.75
2020-04,Sokol,SAO,251500,1048,6.75
2020-04,Chertanovo Severnoye,YuAO,183500,765,6.75
2020-04,Obruchevsky,YuZAO,262300,1093,6.75
2020-04,Gagarinsky,YuZAO,333000,1388,6.75
2020-04,Nagatino-Sadovniki,YuAO,217600,907,6.75
2020-04,Sosenskoye,NAO,155100,646,6.75
2020-04,Vostochnoye Izmaylovo,VAO,200600,836,6.75
2020-04,Zamoskvorechye,CAO,402200,1676,6.75
2020-04,Khoroshyovo-Mnyovniki,SZAO,269700,1124,6.75
2020-04,Dorogomilovo,ZAO,382000,1592,6.75
2020-04,Severnoye Butovo,YuZAO,223500,931,6.75
2020-04,Arbat,CAO,505100,2104,6.75
2020-04,Veshnyaki,VAO,169700,707,6.75
2020-04,Altufyevsky,SVAO,182000,758,6.75
2020-04,Voronovskoye,TAO,79900,333,6.75
2020-04,Sviblovo,SVAO,198300,826,6.75
2020-04,Zyablikovo,YuAO,175600,732,6.75
2020-04,Ryazanovskoye,NAO,122300,509,6.75
2020-04,Metrogorodok,VAO,175800,732,6.75
2020-04,Ramenki,ZAO,344700,1436,6.75
2020-04,Mikhaylovo-Yartsevskoye,TAO,76500,319,6.75
2020-04,Voskresenskoye,NAO,143300,597,6.75
2020-04,Orekhovo-Borisovo Severnoye,YuAO,172400,718,6.75
2020-04,Golovinsky,SAO,200400,835,6.75
2020-04,Pokrovskoye-Streshnevo,SZAO,244100,1017,6.75
2020-04,Severnoye Izmaylovo,VAO,193500,806,6.75
2020-04,Dmitrovsky,SAO,182800,762,6.75
