YEAR_MONTH,DISTRICT,OKRUG,N_LISTINGS_SECONDARY,N_LISTINGS_RENTAL
2020-01,Nagatinsky Zaton,YuAO,125,77
2020-01,Nagatino-Sadovniki,YuAO,77,80
2020-01,Marfino,SVAO,97,101
2020-01,Obruchevsky,YuZAO,60,95
2020-01,Sosenskoye,NAO,27,91
2020-01,Moskovsky,NAO,67,100
2020-01,Novokosino,VAO,126,64
2020-01,Arbat,CAO,104,41
2020-01,Cheryomushki,YuZAO,96,33
2020-01,Metrogorodok,VAO,64,29
2020-01,Lianozovo,SVAO,132,93
2020-01,Zapadnoye Degunino,SAO,192,61
2020-01,Fili-Davydkovo,ZAO,141,46
2020-01,Marushkinskoye,NAO,33,82
2020-01,Severnoye Butovo,YuZAO,76,85
2020-01,Beskudnikovsky,SAO,27,87
2020-01,Izmaylovo,VAO,25,112
2020-01,Ryazanovskoye,NAO,48,13
2020-01,Voykovsky,SAO,132,102
2020-01,Maryina Roshcha,SVAO,114,21
2020-02,Donskoy,YuAO,71,62
2020-02,Chertanovo Yuzhnoye,YuAO,166,93
2020-02,Zapadnoye Degunino,SAO,126,90
2020-02,Otradnoye,SVAO,89,77
2020-02,Nagatinsky Zaton,YuAO,186,104
2020-02,Khovrino,SAO,130,79
2020-02,Izmaylovo,VAO,139,110
2020-02,Nagatino-Sadovniki,YuAO,73,79
2020-02,Orekhovo-Borisovo Yuzhnoye,YuAO,194,92
2020-02,Tverskoy,CAO,144,74
2020-02,Troparyovo-Nikulino,ZAO,106,56
2020-02,Yuzhnoye Medvedkovo,SVAO,194,74
2020-02,Kurkino,SZAO,73,60
2020-02,Bibirevo,SVAO,37,81
2020-02,Mozhaysky,ZAO,138,41
2020-02,Timiryazevsky,SAO,70,96
2020-02,Vnukovskoye,NAO,41,96
2020-02,Khamovniki,CAO,44,76
2020-02,Krasnoselsky,CAO,160,51
2020-02,Sokolinaya Gora,VAO,139,20
2020-02,Akademichesky,YuZAO,89,39
2020-02,Novogireyevo,VAO,91,49
2020-02,Zelenograd,ZelAO,132,49
2020-02,Sokolniki,VAO,190,55
2020-02,Severnoye Tushino,SZAO,40,28
2020-02,Yaroslavsky,SVAO,155,101
2020-02,Bogorodskoye,VAO,24,56
2020-02,Novofyodorovskoye,TAO,173,21
2020-02,Mosrentgen,NAO,87,25
2020-02,Pervomayskoye,TAO,106,80
2020-02,Prospekt Vernadskogo,ZAO,170,59
2020-02,Shchukino,SZAO,25,83
2020-02,Dmitrovsky,SAO,65,67
2020-02,Alekseevsky,SVAO,23,118
2020-02,Troitsk,TAO,172,99
2020-02,Chertanovo Severnoye,YuAO,54,90
2020-02,Golovinsky,SAO,38,112
2020-02,Brateyevo,YuAO,125,32
2020-02,Ramenki,ZAO,72,117
2020-02,Severnoye Medvedkovo,SVAO,37,92
2020-02,Metrogorodok,VAO,140,56
2020-02,Meshchansky,CAO,183,41
2020-02,Danilovsky,YuAO,165,34
2020-02,Ryazanovskoye,NAO,28,61
2020-02,Tsaritsyno,YuAO,100,70
2020-02,Presnensky,CAO,182,52
2020-02,Khoroshyovo-Mnyovniki,SZAO,140,30
2020-02,Sviblovo,SVAO,38,107
2020-02,Severnoye Butovo,YuZAO,74,117
2020-02,Altufyevsky,SVAO,161,76
2020-02,Voronovskoye,TAO,151,92
2020-02,Arbat,CAO,22,50
2020-02,Khoroshyovsky,SAO,39,58
2020-02,Novo-Peredelkino,ZAO,54,107
2020-02,Obruchevsky,YuZAO,114,113
2020-02,Kievsky,TAO,41,97
2020-02,Biryulyovo Vostochnoye,YuAO,107,19
2020-02,Solntsevo,ZAO,115,61
2020-02,Marfino,SVAO,159,71
2020-02,Rostokino,SVAO,129,87
2020-02,Rogovskoye,TAO,27,118
2020-02,Yuzhnoye Tushino,SZAO,35,28
2020-02,Krylatskoye,SZAO,77,16
2020-02,Sosenskoye,NAO,164,20
2020-02,Babushkinsky,SVAO,167,33
2020-02,Tyoply Stan,YuZAO,181,106
2020-02,Chertanovo Tsentralnoye,YuAO,193,111
2020-02,Biryulyovo Zapadnoye,YuAO,110,86
2020-02,Losinoostrovsky,SVAO,89,101
2020-02,Strogino,SZAO,96,83
2020-02,Tagansky,CAO,87,19
2020-02,Severny,SVAO,134,14
2020-02,Kosino-Ukhtomsky,VAO,117,72
2020-02,Ochakovo-Matveyevskoye,ZAO,27,38
2020-02,Novokosino,VAO,66,114
2020-02,Filyovsky Park,ZAO,27,19
2020-02,Basmanny,CAO,103,98
2020-02,Krasnopakhorskoye,TAO,199,12
2020-02,Shchapovskoye,TAO,51,42
2020-02,Molzhaninovsky,SAO,133,72
2020-02,Ivanovskoye,VAO,163,102
2020-02,Vnukovo,ZAO,116,39
2020-02,Desyonovskoye,NAO,21,116
2020-02,Zamoskvorechye,CAO,196,12
2020-02,Aeroport,SAO,129,44
2020-02,Preobrazhenskoye,VAO,153,54
2020-02,Vostochnoye Izmaylovo,VAO,98,97
2020-02,Butyrsky,SVAO,71,64
2020-02,Fili-Davydkovo,ZAO,65,24
2020-02,Ostankinsky,SVAO,149,76
2020-02,Savyolovsky,SAO,152,53
2020-02,Zyuzino,YuZAO,113,66
2020-02,Moskovsky,NAO,138,84
2020-02,Severnoye Izmaylovo,VAO,176,31
2020-02,Pokrovskoye-Streshnevo,SZAO,52,73
2020-02,Beskudnikovsky,SAO,103,48
2020-02,Maryina Roshcha,SVAO,21,43
2020-02,Kotlovka,YuZAO,127,27
2020-02,Shcherbinka,NAO,184,84
2020-02,Lianozovo,SVAO,121,54
2020-02,Golyanovo,VAO,29,69
2020-02,Marushkinskoye,NAO,65,74
2020-02,Perovo,VAO,176,42
2020-02,Moskvorechye-Saburovo,YuAO,153,80
2020-02,Nagorny,YuAO,61,76
2020-02,Gagarinsky,YuZAO,141,111
2020-02,Levoberezhny,SAO,92,99
2020-02,Yasenevo,YuZAO,183,82
2020-02,Mitino,SZAO,185,96
2020-02,Begovoy,SAO,71,33
2020-02,Yuzhnoye Butovo,YuZAO,180,77
2020-02,Kokoshkino,NAO,109,37
2020-02,Vostochny,VAO,80,16
2020-02,Konkovo,YuZAO,181,93
2020-02,Koptevo,SAO,171,48
2020-02,Filimonkovskoye,NAO,59,56
2020-02,Kuntsevo,ZAO,75,106
2020-02,Cheryomushki,YuZAO,182,55
2020-02,Veshnyaki,VAO,113,45
2020-02,Yakimanka,CAO,77,69
2020-02,Sokol,SAO,82,75
2020-02,Dorogomilovo,ZAO,145,16
2020-02,Zyablikovo,YuAO,73,101
2020-02,Mikhaylovo-Yartsevskoye,TAO,24,37
2020-02,Orekhovo-Borisovo Severnoye,YuAO,120,86
2020-02,Voskresenskoye,NAO,101,51
2020-02,Voykovsky,SAO,119,104
2020-02,Lomonosovsky,YuZAO,40,69
2020-02,Klyonovskoye,TAO,192,75
2020-03,Ochakovo-Matveyevskoye,ZAO,187,119
2020-03,Golovinsky,SAO,144,94
2020-03,Yuzhnoye Butovo,YuZAO,109,23
2020-03,Tagansky,CAO,191,80
2020-03,Chertanovo Severnoye,YuAO,178,21
2020-03,Troitsk,TAO,165,11
2020-03,Yasenevo,YuZAO,164,48
2020-03,Vostochny,VAO,132,59
2020-03,Shchukino,SZAO,188,76
2020-03,Biryulyovo Zapadnoye,YuAO,162,90
2020-03,Alekseevsky,SVAO,125,45
2020-03,Dmitrovsky,SAO,127,29
2020-03,Begovoy,SAO,23,40
2020-03,Cheryomushki,YuZAO,33,34
2020-03,Vnukovskoye,NAO,84,107
2020-03,Kosino-Ukhtomsky,VAO,161,101
2020-03,Kokoshkino,NAO,50,67
2020-03,Presnensky,CAO,70,39
2020-03,Kotlovka,YuZAO,44,43
2020-03,Altufyevsky,SVAO,191,101
2020-03,Voykovsky,SAO,87,100
2020-03,Severnoye Butovo,YuZAO,72,23
2020-03,Zapadnoye Degunino,SAO,46,38
2020-03,Shcherbinka,NAO,132,13
2020-03,Gagarinsky,YuZAO,89,43
2020-03,Golyanovo,VAO,152,91
2020-03,Khoroshyovo-Mnyovniki,SZAO,96,18
2020-03,Ryazanovskoye,NAO,162,37
2020-03,Sokolinaya Gora,VAO,26,63
2020-03,Levoberezhny,SAO,96,18
2020-03,Prospekt Vernadskogo,ZAO,149,54
2020-03,Kuntsevo,ZAO,72,33
2020-03,Sokol,SAO,131,77
2020-03,Perovo,VAO,197,26
2020-03,Marushkinskoye,NAO,37,30
2020-03,Novofyodorovskoye,TAO,31,82
2020-03,Metrogorodok,VAO,173,80
2020-03,Bogorodskoye,VAO,196,32
2020-03,Severnoye Medvedkovo,SVAO,102,31
2020-03,Brateyevo,YuAO,128,104
2020-03,Beskudnikovsky,SAO,46,82
2020-03,Yaroslavsky,SVAO,47,79
2020-03,Novo-Peredelkino,ZAO,33,56
2020-03,Biryulyovo Vostochnoye,YuAO,126,20
2020-03,Novokosino,VAO,139,63
2020-03,Obruchevsky,YuZAO,152,29
2020-03,Veshnyaki,VAO,129,50
2020-03,Dorogomilovo,ZAO,119,93
2020-03,Vostochnoye Izmaylovo,VAO,172,92
2020-03,Sokolniki,VAO,91,52
2020-03,Yuzhnoye Medvedkovo,SVAO,96,22
2020-03,Sosenskoye,NAO,175,101
2020-03,Mikhaylovo-Yartsevskoye,TAO,46,27
2020-03,Aeroport,SAO,49,114
2020-03,Zyuzino,YuZAO,119,39
2020-03,Tverskoy,CAO,129,104
2020-03,Khovrino,SAO,82,36
2020-03,Chertanovo Yuzhnoye,YuAO,192,22
2020-03,Savyolovsky,SAO,163,115
2020-03,Moskovsky,NAO,101,60
2020-03,Mozhaysky,ZAO,185,50
2020-03,Filimonkovskoye,NAO,90,85
2020-03,Mosrentgen,NAO,199,108
2020-03,Zelenograd,ZelAO,98,54
2020-03,Pervomayskoye,TAO,129,115
2020-03,Novogireyevo,VAO,140,44
2020-03,Konkovo,YuZAO,192,99
2020-03,Lomonosovsky,YuZAO,140,82
2020-03,Koptevo,SAO,163,90
2020-03,Severnoye Izmaylovo,VAO,170,106
2020-03,Severny,SVAO,122,42
2020-03,Preobrazhenskoye,VAO,69,36
2020-03,Khamovniki,CAO,150,74
2020-03,Krasnopakhorskoye,TAO,150,66
2020-03,Izmaylovo,VAO,182,31
2020-03,Chertanovo Tsentralnoye,YuAO,120,49
2020-03,Khoroshyovsky,SAO,30,64
2020-03,Yakimanka,CAO,146,38
2020-03,Molzhaninovsky,SAO,112,118
2020-03,Voskresenskoye,NAO,187,117
2020-03,Timiryazevsky,SAO,25,110
2020-03,Yuzhnoye Tushino,SZAO,179,102
2020-03,Rogovskoye,TAO,32,12
2020-03,Vnukovo,ZAO,132,93
2020-03,Desyonovskoye,NAO,138,80
2020-03,Akademichesky,YuZAO,172,36
2020-03,Ivanovskoye,VAO,44,39
2020-03,Tyoply Stan,YuZAO,104,25
2020-03,Krylatskoye,SZAO,42,57
2020-03,Ostankinsky,SVAO,28,29
2020-03,Solntsevo,ZAO,45,50
2020-03,Lianozovo,SVAO,189,15
2020-03,Babushkinsky,SVAO,128,73
2020-03,Ramenki,ZAO,86,87
2020-03,Marfino,SVAO,187,74
2020-03,Nagatino-Sadovniki,YuAO,138,59
2020-03,Pokrovskoye-Streshnevo,SZAO,133,102
2020-03,Donskoy,YuAO,56,98
2020-03,Orekhovo-Borisovo Yuzhnoye,YuAO,102,96
2020-03,Fili-Davydkovo,ZAO,130,116
2020-03,Severnoye Tushino,SZAO,96,32
2020-03,Meshchansky,CAO,130,79
2020-03,Troparyovo-Nikulino,ZAO,81,85
2020-03,Otradnoye,SVAO,98,53
2020-03,Filyovsky Park,ZAO,58,58
2020-03,Nagatinsky Zaton,YuAO,186,53
2020-03,Mitino,SZAO,43,90
2020-03,Tsaritsyno,YuAO,26,16
2020-03,Danilovsky,YuAO,72,14
2020-03,Kievsky,TAO,63,41
2020-03,Losinoostrovsky,SVAO,64,70
2020-03,Strogino,SZAO,33,101
2020-03,Rostokino,SVAO,150,59
2020-03,Moskvorechye-Saburovo,YuAO,112,97
2020-03,Arbat,CAO,104,28
2020-03,Butyrsky,SVAO,68,14
2020-03,Nagorny,YuAO,101,66
2020-03,Bibirevo,SVAO,89,70
2020-03,Voronovskoye,TAO,146,32
2020-03,Shchapovskoye,TAO,168,21
2020-03,Orekhovo-Borisovo Severnoye,YuAO,82,119
2020-03,Kurkino,SZAO,165,93
2020-03,Sviblovo,SVAO,137,113
2020-03,Basmanny,CAO,65,67
2020-03,Zamoskvorechye,CAO,101,107
2020-03,Maryina Roshcha,SVAO,70,117
2020-03,Klyonovskoye,TAO,162,20
2020-03,Krasnoselsky,CAO,151,107
2020-03,Zyablikovo,YuAO,74,43
2020-04,Novokosino,VAO,77,98
2020-04,Vostochny,VAO,53,41
2020-04,Rogovskoye,TAO,117,100
2020-04,Rostokino,SVAO,128,99
2020-04,Yuzhnoye Tushino,SZAO,151,76
2020-04,Konkovo,YuZAO,140,59
2020-04,Fili-Davydkovo,ZAO,29,92
2020-04,Vnukovskoye,NAO,45,91
2020-04,Bibirevo,SVAO,124,31
2020-04,Strogino,SZAO,197,61
2020-04,Tagansky,CAO,71,26
2020-04,Kuntsevo,ZAO,189,83
2020-04,Cheryomushki,YuZAO,126,56
2020-04,Severny,SVAO,183,26
2020-04,Molzhaninovsky,SAO,94,54
2020-04,Butyrsky,SVAO,89,86
2020-04,Lomonosovsky,YuZAO,134,69
2020-04,Filyovsky Park,ZAO,56,58
2020-04,Otradnoye,SVAO,116,63
2020-04,Filimonkovskoye,NAO,197,34
2020-04,Chertanovo Tsentralnoye,YuAO,36,40
2020-04,Krasnopakhorskoye,TAO,179,70
2020-04,Moskovsky,NAO,54,63
2020-04,Bogorodskoye,VAO,92,80
2020-04,Preobrazhenskoye,VAO,137,84
2020-04,Khoroshyovsky,SAO,59,113
2020-04,Babushkinsky,SVAO,47,13
2020-04,Chertanovo Yuzhnoye,YuAO,74,63
2020-04,Marushkinskoye,NAO,121,22
2020-04,Yasenevo,YuZAO,44,80
2020-04,Lianozovo,SVAO,118,20
2020-04,Yaroslavsky,SVAO,98,115
2020-04,Khovrino,SAO,146,103
2020-04,Donskoy,YuAO,158,89
2020-04,Severnoye Tushino,SZAO,111,44
2020-04,Kotlovka,YuZAO,82,102
2020-04,Maryina Roshcha,SVAO,176,52
2020-04,Tverskoy,CAO,54,65
2020-04,Mozhaysky,ZAO,145,103
2020-04,Golyanovo,VAO,40,62
2020-04,Levoberezhny,SAO,157,16
2020-04,Shcherbinka,NAO,88,68
2020-04,Zelenograd,ZelAO,167,29
2020-04,Pervomayskoye,TAO,63,55
2020-04,Nagorny,YuAO,38,26
2020-04,Moskvorechye-Saburovo,YuAO,22,20
2020-04,Perovo,VAO,36,114
2020-04,Solntsevo,ZAO,170,93
2020-04,Ivanovskoye,VAO,94,110
2020-04,Shchapovskoye,TAO,139,113
2020-04,Basmanny,CAO,22,68
2020-04,Kievsky,TAO,188,83
2020-04,Novo-Peredelkino,ZAO,150,19
2020-04,Timiryazevsky,SAO,21,61
2020-04,Koptevo,SAO,176,119
2020-04,Kokoshkino,NAO,52,68
2020-04,Biryulyovo Vostochnoye,YuAO,167,10
2020-04,Khamovniki,CAO,104,37
2020-04,Mitino,SZAO,128,80
2020-04,Begovoy,SAO,161,114
2020-04,Beskudnikovsky,SAO,67,100
2020-04,Akademichesky,YuZAO,116,25
2020-04,Yuzhnoye Medvedkovo,SVAO,129,49
2020-04,Krasnoselsky,CAO,178,40
2020-04,Yuzhnoye Butovo,YuZAO,71,64
2020-04,Sokolniki,VAO,73,48
2020-04,Orekhovo-Borisovo Yuzhnoye,YuAO,129,36
2020-04,Voykovsky,SAO,22,117
2020-04,Savyolovsky,SAO,43,62
2020-04,Kosino-Ukhtomsky,VAO,41,48
2020-04,Losinoostrovsky,SVAO,186,23
2020-04,Prospekt Vernadskogo,ZAO,137,69
2020-04,Danilovsky,YuAO,22,49
2020-04,Ostankinsky,SVAO,55,37
2020-04,Krylatskoye,SZAO,73,83
2020-04,Severnoye Medvedkovo,SVAO,190,110
2020-04,Zyuzino,YuZAO,103,43
2020-04,Brateyevo,YuAO,26,96
2020-04,Presnensky,CAO,172,83
2020-04,Tyoply Stan,YuZAO,183,87
2020-04,Sokol,SAO,80,114
2020-04,Chertanovo Severnoye,YuAO,181,60
2020-04,Obruchevsky,YuZAO,184,34
2020-04,Gagarinsky,YuZAO,195,21
2020-04,Nagatino-Sadovniki,YuAO,50,101
2020-04,Sosenskoye,NAO,63,66
2020-04,Vostochnoye Izmaylovo,VAO,123,34
2020-04,Zamoskvorechye,CAO,196,22
2020-04,Khoroshyovo-Mnyovniki,SZAO,143,97
2020-04,Dorogomilovo,ZAO,170,52
2020-04,Severnoye Butovo,YuZAO,159,23
2020-04,Arbat,CAO,168,107
2020-04,Veshnyaki,VAO,97,41
2020-04,Altufyevsky,SVAO,151,21
2020-04,Voronovskoye,TAO,57,29
2020-04,Sviblovo,SVAO,140,10
2020-04,Zyablikovo,YuAO,135,53
2020-04,Ryazanovskoye,NAO,164,46
2020-04,Metrogorodok,VAO,180,54
2020-04,Ramenki,ZAO,42,102
2020-04,Mikhaylovo-Yartsevskoye,TAO,161,88
2020-04,Voskresenskoye,NAO,111,75
2020-04,Orekhovo-Borisovo Severnoye,YuAO,191,61
2020-04,Golovinsky,SAO,59,100
2020-04,Pokrovskoye-Streshnevo,SZAO,95,101
2020-04,Severnoye Izmaylovo,VAO,20,71
2020-04,Dmitrovsky,SAO,63,89
2020-04,Yakimanka,CAO,24,116
2020-04,Tsaritsyno,YuAO,54,89
2020-04,Sokolinaya Gora,VAO,25,107
2020-04,Kurkino,SZAO,101,104
2020-04,Desyonovskoye,NAO,103,29
2020-04,Klyonovskoye,TAO,28,93
2020-04,Marfino,SVAO,118,117
2020-04,Novogireyevo,VAO,97,118
2020-04,Novofyodorovskoye,TAO,99,10
2020-04,Aeroport,SAO,168,113
2020-04,Ochakovo-Matveyevskoye,ZAO,58,77
2020-04,Biryulyovo Zapadnoye,YuAO,148,41
2020-04,Shchukino,SZAO,21,48
2020-04,Meshchansky,CAO,193,92
2020-04,Nagatinsky Zaton,YuAO,48,59
2020-04,Mosrentgen,NAO,43,31
2020-04,Vnukovo,ZAO,45,113
2020-04,Izmaylovo,VAO,109,10
2020-04,Zapadnoye Degunino,SAO,89,49
2020-04,Alekseevsky,SVAO,116,37
2020-04,Troparyovo-Nikulino,ZAO,180,17
2020-04,Troitsk,TAO,135,45
2020-05,Kuntsevo,ZAO,105,50
2020-05,Dorogomilovo,ZAO,166,64
2020-05,Orekhovo-Borisovo Severnoye,YuAO,187,98
2020-05,Yaroslavsky,SVAO,86,36
2020-05,Voskresenskoye,NAO,87,16
2020-05,Preobrazhenskoye,VAO,144,60
2020-05,Molzhaninovsky,SAO,50,78
2020-05,Pokrovskoye-Streshnevo,SZAO,129,11
2020-05,Vnukovskoye,NAO,183,83
2020-05,Severnoye Tushino,SZAO,60,33
2020-05,Mikhaylovo-Yartsevskoye,TAO,153,52
2020-05,Novofyodorovskoye,TAO,109,108
2020-05,Mozhaysky,ZAO,186,20
2020-05,Levoberezhny,SAO,38,88
2020-05,Butyrsky,SVAO,136,64
2020-05,Vnukovo,ZAO,56,29
2020-05,Nagorny,YuAO,98,110
2020-05,Zyablikovo,YuAO,38,15
2020-05,Pervomayskoye,TAO,116,60
2020-05,Veshnyaki,VAO,157,91
2020-05,Yuzhnoye Butovo,YuZAO,139,104
2020-05,Bibirevo,SVAO,30,82
2020-05,Bogorodskoye,VAO,183,81
2020-05,Vostochnoye Izmaylovo,VAO,92,55
2020-05,Khamovniki,CAO,142,65
2020-05,Konkovo,YuZAO,52,43
2020-05,Vostochny,VAO,101,90
2020-05,Kievsky,TAO,52,92
2020-05,Gagarinsky,YuZAO,86,97
2020-05,Filyovsky Park,ZAO,165,104
2020-05,Zamoskvorechye,CAO,46,96
2020-05,Sokol,SAO,22,83
2020-05,Zyuzino,YuZAO,146,28
2020-05,Timiryazevsky,SAO,147,67
2020-05,Sokolinaya Gora,VAO,82,67
2020-05,Aeroport,SAO,100,68
2020-05,Mitino,SZAO,121,58
2020-05,Krasnopakhorskoye,TAO,191,69
2020-05,Severnoye Izmaylovo,VAO,154,44
2020-05,Ostankinsky,SVAO,185,10
2020-05,Otradnoye,SVAO,25,106
2020-05,Klyonovskoye,TAO,80,107
2020-05,Krasnoselsky,CAO,104,24
2020-05,Akademichesky,YuZAO,47,50
2020-05,Begovoy,SAO,27,27
2020-05,Kokoshkino,NAO,94,12
2020-05,Savyolovsky,SAO,92,37
2020-05,Troparyovo-Nikulino,ZAO,142,76
2020-05,Yakimanka,CAO,38,107
2020-05,Desyonovskoye,NAO,45,89
2020-05,Sokolniki,VAO,153,110
2020-05,Yasenevo,YuZAO,49,61
2020-05,Marfino,SVAO,67,18
2020-05,Mosrentgen,NAO,170,33
2020-05,Alekseevsky,SVAO,88,119
2020-05,Meshchansky,CAO,98,84
2020-05,Shchukino,SZAO,145,87
2020-05,Nagatinsky Zaton,YuAO,96,61
2020-05,Novogireyevo,VAO,155,40
2020-05,Izmaylovo,VAO,185,77
2020-05,Biryulyovo Zapadnoye,YuAO,134,95
2020-05,Voronovskoye,TAO,111,43
2020-05,Ochakovo-Matveyevskoye,ZAO,45,93
2020-05,Kurkino,SZAO,155,64
2020-05,Voykovsky,SAO,187,64
2020-05,Troitsk,TAO,152,98
2020-05,Zapadnoye Degunino,SAO,126,44
2020-05,Perovo,VAO,125,70
2020-05,Tagansky,CAO,53,67
2020-05,Severny,SVAO,43,25
2020-05,Cheryomushki,YuZAO,165,38
2020-05,Lomonosovsky,YuZAO,181,55
2020-05,Moskovsky,NAO,119,13
2020-05,Fili-Davydkovo,ZAO,78,14
2020-05,Filimonkovskoye,NAO,91,64
2020-05,Chertanovo Tsentralnoye,YuAO,140,107
2020-05,Khoroshyovsky,SAO,48,36
2020-05,Babushkinsky,SVAO,42,65
2020-05,Tsaritsyno,YuAO,149,10
2020-05,Sviblovo,SVAO,195,105
2020-05,Arbat,CAO,66,57
2020-05,Altufyevsky,SVAO,98,82
2020-05,Ryazanovskoye,NAO,189,76
2020-05,Metrogorodok,VAO,167,44
2020-05,Severnoye Butovo,YuZAO,126,106
2020-05,Khoroshyovo-Mnyovniki,SZAO,189,73
2020-05,Golovinsky,SAO,49,41
2020-05,Krylatskoye,SZAO,48,87
2020-05,Kosino-Ukhtomsky,VAO,121,104
2020-05,Prospekt Vernadskogo,ZAO,23,10
2020-05,Dmitrovsky,SAO,36,11
2020-05,Strogino,SZAO,161,72
2020-05,Presnensky,CAO,139,10
2020-05,Losinoostrovsky,SVAO,63,113
2020-05,Danilovsky,YuAO,193,37
2020-05,Severnoye Medvedkovo,SVAO,127,24
2020-05,Brateyevo,YuAO,185,53
